grupo_edad|sexo|escolaridad|estado_origen|estado_destino|probabilidad|n_muestra_pond|n_muestra_sin_pond|baja_confianza
25-29|hombre|basica-|formal_IMSS|formal_IMSS|0.7398070898514914|1801695.0|6189|False
25-29|hombre|basica-|formal_IMSS|formal_ISSSTE|0.0014477430057367256|1801695.0|6189|False
25-29|hombre|basica-|formal_IMSS|informal|0.2074532904512724|1801695.0|6189|False
25-29|hombre|basica-|formal_IMSS|desempleado|0.031169303455706416|1801695.0|6189|False
25-29|hombre|basica-|formal_IMSS|fuera_PEA|0.020122573235793216|1801695.0|6189|False
25-29|hombre|basica-|formal_ISSSTE|formal_IMSS|0.11871945589117378|55540.0|153|False
25-29|hombre|basica-|formal_ISSSTE|formal_ISSSTE|0.6535008220578352|55540.0|153|False
25-29|hombre|basica-|formal_ISSSTE|informal|0.21373316030312928|55540.0|153|False
25-29|hombre|basica-|formal_ISSSTE|desempleado|0.00495984110200012|55540.0|153|False
25-29|hombre|basica-|formal_ISSSTE|fuera_PEA|0.009086720645861641|55540.0|153|False
25-29|hombre|basica-|informal|formal_IMSS|0.09285923588930692|4338070.0|11542|False
25-29|hombre|basica-|informal|formal_ISSSTE|0.0020730364643509612|4338070.0|11542|False
25-29|hombre|basica-|informal|informal|0.8448243743223287|4338070.0|11542|False
25-29|hombre|basica-|informal|desempleado|0.017395471867727337|4338070.0|11542|False
25-29|hombre|basica-|informal|fuera_PEA|0.042847881456286|4338070.0|11542|False
25-29|hombre|basica-|desempleado|formal_IMSS|0.22724486813191053|177191.0|578|False
25-29|hombre|basica-|desempleado|formal_ISSSTE|0.006016299618134074|177191.0|578|False
25-29|hombre|basica-|desempleado|informal|0.5677158759782625|177191.0|578|False
25-29|hombre|basica-|desempleado|desempleado|0.07686560532652927|177191.0|578|False
25-29|hombre|basica-|desempleado|fuera_PEA|0.12215735094516368|177191.0|578|False
25-29|hombre|basica-|fuera_PEA|formal_IMSS|0.05908051593555083|448029.0|1351|False
25-29|hombre|basica-|fuera_PEA|formal_ISSSTE|0.001098329544217047|448029.0|1351|False
25-29|hombre|basica-|fuera_PEA|informal|0.4132675920691716|448029.0|1351|False
25-29|hombre|basica-|fuera_PEA|desempleado|0.0388797538028904|448029.0|1351|False
25-29|hombre|basica-|fuera_PEA|fuera_PEA|0.4876738086481701|448029.0|1351|False
25-29|hombre|media_sup|formal_IMSS|formal_IMSS|0.7884327310052586|2023231.0|7034|False
25-29|hombre|media_sup|formal_IMSS|formal_ISSSTE|0.004458167100677497|2023231.0|7034|False
25-29|hombre|media_sup|formal_IMSS|informal|0.15070612726220345|2023231.0|7034|False
25-29|hombre|media_sup|formal_IMSS|desempleado|0.03445964758190812|2023231.0|7034|False
25-29|hombre|media_sup|formal_IMSS|fuera_PEA|0.02194332704995253|2023231.0|7034|False
25-29|hombre|media_sup|formal_ISSSTE|formal_IMSS|0.09390751805780286|155465.0|451|False
25-29|hombre|media_sup|formal_ISSSTE|formal_ISSSTE|0.7237937746679541|155465.0|451|False
25-29|hombre|media_sup|formal_ISSSTE|informal|0.1325711479044025|155465.0|451|False
25-29|hombre|media_sup|formal_ISSSTE|desempleado|0.019779939362164833|155465.0|451|False
25-29|hombre|media_sup|formal_ISSSTE|fuera_PEA|0.029947620007675684|155465.0|451|False
25-29|hombre|media_sup|informal|formal_IMSS|0.1521524277091329|2123661.0|6022|False
25-29|hombre|media_sup|informal|formal_ISSSTE|0.008113920252936746|2123661.0|6022|False
25-29|hombre|media_sup|informal|informal|0.7750018938952514|2123661.0|6022|False
25-29|hombre|media_sup|informal|desempleado|0.02744380109910946|2123661.0|6022|False
25-29|hombre|media_sup|informal|fuera_PEA|0.037287957043569436|2123661.0|6022|False
25-29|hombre|media_sup|desempleado|formal_IMSS|0.3783604301918533|196005.0|570|False
25-29|hombre|media_sup|desempleado|formal_ISSSTE|0.013050485340251147|196005.0|570|False
25-29|hombre|media_sup|desempleado|informal|0.3748660813941038|196005.0|570|False
25-29|hombre|media_sup|desempleado|desempleado|0.12562352012795322|196005.0|570|False
25-29|hombre|media_sup|desempleado|fuera_PEA|0.10809948294583852|196005.0|570|False
25-29|hombre|media_sup|fuera_PEA|formal_IMSS|0.1557660222976605|202853.0|672|False
25-29|hombre|media_sup|fuera_PEA|formal_ISSSTE|0.01907849713174497|202853.0|672|False
25-29|hombre|media_sup|fuera_PEA|informal|0.38295197178819007|202853.0|672|False
25-29|hombre|media_sup|fuera_PEA|desempleado|0.06857688593880652|202853.0|672|False
25-29|hombre|media_sup|fuera_PEA|fuera_PEA|0.3736266228435979|202853.0|672|False
25-29|hombre|superior|formal_IMSS|formal_IMSS|0.7825690538273603|2420674.0|8763|False
25-29|hombre|superior|formal_IMSS|formal_ISSSTE|0.015145693979224046|2420674.0|8763|False
25-29|hombre|superior|formal_IMSS|informal|0.13481854857211192|2420674.0|8763|False
25-29|hombre|superior|formal_IMSS|desempleado|0.03473353895017335|2420674.0|8763|False
25-29|hombre|superior|formal_IMSS|fuera_PEA|0.032733164671130376|2420674.0|8763|False
25-29|hombre|superior|formal_ISSSTE|formal_IMSS|0.09711597649037623|376298.0|1299|False
25-29|hombre|superior|formal_ISSSTE|formal_ISSSTE|0.6914299520174169|376298.0|1299|False
25-29|hombre|superior|formal_ISSSTE|informal|0.10800256685689032|376298.0|1299|False
25-29|hombre|superior|formal_ISSSTE|desempleado|0.04039028940075379|376298.0|1299|False
25-29|hombre|superior|formal_ISSSTE|fuera_PEA|0.06306121523456282|376298.0|1299|False
25-29|hombre|superior|informal|formal_IMSS|0.19515558512920522|1674140.0|5928|False
25-29|hombre|superior|informal|formal_ISSSTE|0.03037233904578154|1674140.0|5928|False
25-29|hombre|superior|informal|informal|0.6459210158393871|1674140.0|5928|False
25-29|hombre|superior|informal|desempleado|0.03951140188641776|1674140.0|5928|False
25-29|hombre|superior|informal|fuera_PEA|0.08903965809920839|1674140.0|5928|False
25-29|hombre|superior|desempleado|formal_IMSS|0.291409090908095|352387.0|1210|False
25-29|hombre|superior|desempleado|formal_ISSSTE|0.041566844103565044|352387.0|1210|False
25-29|hombre|superior|desempleado|informal|0.3145945227767397|352387.0|1210|False
25-29|hombre|superior|desempleado|desempleado|0.1708401780504591|352387.0|1210|False
25-29|hombre|superior|desempleado|fuera_PEA|0.18158936416114113|352387.0|1210|False
25-29|hombre|superior|fuera_PEA|formal_IMSS|0.16365521014323567|637800.0|2121|False
25-29|hombre|superior|fuera_PEA|formal_ISSSTE|0.018391714219164385|637800.0|2121|False
25-29|hombre|superior|fuera_PEA|informal|0.2646329512110338|637800.0|2121|False
25-29|hombre|superior|fuera_PEA|desempleado|0.11248861390888074|637800.0|2121|False
25-29|hombre|superior|fuera_PEA|fuera_PEA|0.4408315105176854|637800.0|2121|False
25-29|mujer|basica-|formal_IMSS|formal_IMSS|0.6863145254671663|803928.0|2822|False
25-29|mujer|basica-|formal_IMSS|formal_ISSSTE|0.0021309513110595525|803928.0|2822|False
25-29|mujer|basica-|formal_IMSS|informal|0.1265111966920146|803928.0|2822|False
25-29|mujer|basica-|formal_IMSS|desempleado|0.020942312819212067|803928.0|2822|False
25-29|mujer|basica-|formal_IMSS|fuera_PEA|0.16410101371054742|803928.0|2822|False
25-29|mujer|basica-|formal_ISSSTE|formal_IMSS|0.038698051074096566|16104.0|33|False
25-29|mujer|basica-|formal_ISSSTE|formal_ISSSTE|0.8416989641202114|16104.0|33|False
25-29|mujer|basica-|formal_ISSSTE|informal|0.02163472689775024|16104.0|33|False
25-29|mujer|basica-|formal_ISSSTE|desempleado|0.009336124777355972|16104.0|33|False
25-29|mujer|basica-|formal_ISSSTE|fuera_PEA|0.08863213313058577|16104.0|33|False
25-29|mujer|basica-|informal|formal_IMSS|0.06032959096219065|2173255.0|6192|False
25-29|mujer|basica-|informal|formal_ISSSTE|0.0007372037970447435|2173255.0|6192|False
25-29|mujer|basica-|informal|informal|0.5963126461670973|2173255.0|6192|False
25-29|mujer|basica-|informal|desempleado|0.011735359310347554|2173255.0|6192|False
25-29|mujer|basica-|informal|fuera_PEA|0.3308851997633197|2173255.0|6192|False
25-29|mujer|basica-|desempleado|formal_IMSS|0.18230989483569338|115627.0|371|False
25-29|mujer|basica-|desempleado|formal_ISSSTE|0.006502175283273479|115627.0|371|False
25-29|mujer|basica-|desempleado|informal|0.36723940591064075|115627.0|371|False
25-29|mujer|basica-|desempleado|desempleado|0.08185102487491959|115627.0|371|False
25-29|mujer|basica-|desempleado|fuera_PEA|0.36209749909547284|115627.0|371|False
25-29|mujer|basica-|fuera_PEA|formal_IMSS|0.02907324464539651|4575363.0|12360|False
25-29|mujer|basica-|fuera_PEA|formal_ISSSTE|0.001055483166145747|4575363.0|12360|False
25-29|mujer|basica-|fuera_PEA|informal|0.17114520139583286|4575363.0|12360|False
25-29|mujer|basica-|fuera_PEA|desempleado|0.010639257362161654|4575363.0|12360|False
25-29|mujer|basica-|fuera_PEA|fuera_PEA|0.7880868134304632|4575363.0|12360|False
25-29|mujer|media_sup|formal_IMSS|formal_IMSS|0.7374208458513066|1219247.0|4371|False
25-29|mujer|media_sup|formal_IMSS|formal_ISSSTE|0.0051553625963421034|1219247.0|4371|False
25-29|mujer|media_sup|formal_IMSS|informal|0.10784727582596633|1219247.0|4371|False
25-29|mujer|media_sup|formal_IMSS|desempleado|0.026876833741613277|1219247.0|4371|False
25-29|mujer|media_sup|formal_IMSS|fuera_PEA|0.12269968198477167|1219247.0|4371|False
25-29|mujer|media_sup|formal_ISSSTE|formal_IMSS|0.07354607416521328|79269.0|235|False
25-29|mujer|media_sup|formal_ISSSTE|formal_ISSSTE|0.7838969126311297|79269.0|235|False
25-29|mujer|media_sup|formal_ISSSTE|informal|0.05538873581225592|79269.0|235|False
25-29|mujer|media_sup|formal_ISSSTE|desempleado|0.017741256313060335|79269.0|235|False
25-29|mujer|media_sup|formal_ISSSTE|fuera_PEA|0.06942702107834073|79269.0|235|False
25-29|mujer|media_sup|informal|formal_IMSS|0.09473125353140117|1599639.0|4820|False
25-29|mujer|media_sup|informal|formal_ISSSTE|0.004936190512513423|1599639.0|4820|False
25-29|mujer|media_sup|informal|informal|0.5989429103088885|1599639.0|4820|False
25-29|mujer|media_sup|informal|desempleado|0.020782674301926728|1599639.0|4820|False
25-29|mujer|media_sup|informal|fuera_PEA|0.28060697134527024|1599639.0|4820|False
25-29|mujer|media_sup|desempleado|formal_IMSS|0.28803059727515185|152656.0|423|False
25-29|mujer|media_sup|desempleado|formal_ISSSTE|0.003267792744612001|152656.0|423|False
25-29|mujer|media_sup|desempleado|informal|0.22829314713264895|152656.0|423|False
25-29|mujer|media_sup|desempleado|desempleado|0.0699526457059691|152656.0|423|False
25-29|mujer|media_sup|desempleado|fuera_PEA|0.41045581714161805|152656.0|423|False
25-29|mujer|media_sup|fuera_PEA|formal_IMSS|0.05295875742786519|2426365.0|7129|False
25-29|mujer|media_sup|fuera_PEA|formal_ISSSTE|0.004491718151373866|2426365.0|7129|False
25-29|mujer|media_sup|fuera_PEA|informal|0.19376689764980395|2426365.0|7129|False
25-29|mujer|media_sup|fuera_PEA|desempleado|0.017385005683940868|2426365.0|7129|False
25-29|mujer|media_sup|fuera_PEA|fuera_PEA|0.7313976210870162|2426365.0|7129|False
25-29|mujer|superior|formal_IMSS|formal_IMSS|0.739408346944685|2115477.0|7968|False
25-29|mujer|superior|formal_IMSS|formal_ISSSTE|0.025666109119070156|2115477.0|7968|False
25-29|mujer|superior|formal_IMSS|informal|0.11113985591887428|2115477.0|7968|False
25-29|mujer|superior|formal_IMSS|desempleado|0.03563334103174216|2115477.0|7968|False
25-29|mujer|superior|formal_IMSS|fuera_PEA|0.08815234698562828|2115477.0|7968|False
25-29|mujer|superior|formal_ISSSTE|formal_IMSS|0.07842098432384535|531674.0|2033|False
25-29|mujer|superior|formal_ISSSTE|formal_ISSSTE|0.7725282378022514|531674.0|2033|False
25-29|mujer|superior|formal_ISSSTE|informal|0.07840180739614291|531674.0|2033|False
25-29|mujer|superior|formal_ISSSTE|desempleado|0.01955744670296488|531674.0|2033|False
25-29|mujer|superior|formal_ISSSTE|fuera_PEA|0.05109152377479534|531674.0|2033|False
25-29|mujer|superior|informal|formal_IMSS|0.1808929573219558|1522286.0|5716|False
25-29|mujer|superior|informal|formal_ISSSTE|0.045812347378547016|1522286.0|5716|False
25-29|mujer|superior|informal|informal|0.5643091472985525|1522286.0|5716|False
25-29|mujer|superior|informal|desempleado|0.03884997591611179|1522286.0|5716|False
25-29|mujer|superior|informal|fuera_PEA|0.17013557208483288|1522286.0|5716|False
25-29|mujer|superior|desempleado|formal_IMSS|0.24179943014718558|329703.0|1184|False
25-29|mujer|superior|desempleado|formal_ISSSTE|0.05170228064307945|329703.0|1184|False
25-29|mujer|superior|desempleado|informal|0.2742481611587326|329703.0|1184|False
25-29|mujer|superior|desempleado|desempleado|0.11660406265767641|329703.0|1184|False
25-29|mujer|superior|desempleado|fuera_PEA|0.315646065393326|329703.0|1184|False
25-29|mujer|superior|fuera_PEA|formal_IMSS|0.1220935558084557|1295304.0|4427|False
25-29|mujer|superior|fuera_PEA|formal_ISSSTE|0.024071881892749714|1295304.0|4427|False
25-29|mujer|superior|fuera_PEA|informal|0.19891897639036263|1295304.0|4427|False
25-29|mujer|superior|fuera_PEA|desempleado|0.058660675052901214|1295304.0|4427|False
25-29|mujer|superior|fuera_PEA|fuera_PEA|0.5962549108555308|1295304.0|4427|False
30-34|hombre|basica-|formal_IMSS|formal_IMSS|0.7705447565488063|2089841.0|7380|False
30-34|hombre|basica-|formal_IMSS|formal_ISSSTE|0.0033055468675272925|2089841.0|7380|False
30-34|hombre|basica-|formal_IMSS|informal|0.18542011358636495|2089841.0|7380|False
30-34|hombre|basica-|formal_IMSS|desempleado|0.02407853278812237|2089841.0|7380|False
30-34|hombre|basica-|formal_IMSS|fuera_PEA|0.016651050209179178|2089841.0|7380|False
30-34|hombre|basica-|formal_ISSSTE|formal_IMSS|0.08239935907416941|67552.0|204|False
30-34|hombre|basica-|formal_ISSSTE|formal_ISSSTE|0.7447635624878941|67552.0|204|False
30-34|hombre|basica-|formal_ISSSTE|informal|0.14640660013470003|67552.0|204|False
30-34|hombre|basica-|formal_ISSSTE|desempleado|0.0029809245285717977|67552.0|204|False
30-34|hombre|basica-|formal_ISSSTE|fuera_PEA|0.023449553774664615|67552.0|204|False
30-34|hombre|basica-|informal|formal_IMSS|0.08155978071547283|5264834.0|14067|False
30-34|hombre|basica-|informal|formal_ISSSTE|0.003282567478409383|5264834.0|14067|False
30-34|hombre|basica-|informal|informal|0.8555043798625293|5264834.0|14067|False
30-34|hombre|basica-|informal|desempleado|0.019281593298104763|5264834.0|14067|False
30-34|hombre|basica-|informal|fuera_PEA|0.040371678645483786|5264834.0|14067|False
30-34|hombre|basica-|desempleado|formal_IMSS|0.25979977802285675|172467.0|564|False
30-34|hombre|basica-|desempleado|formal_ISSSTE|0.015857518446577866|172467.0|564|False
30-34|hombre|basica-|desempleado|informal|0.5135143316148693|172467.0|564|False
30-34|hombre|basica-|desempleado|desempleado|0.10789631589802084|172467.0|564|False
30-34|hombre|basica-|desempleado|fuera_PEA|0.10293205601767509|172467.0|564|False
30-34|hombre|basica-|fuera_PEA|formal_IMSS|0.044953294292821924|425396.0|1270|False
30-34|hombre|basica-|fuera_PEA|formal_ISSSTE|0.0003783928746451845|425396.0|1270|False
30-34|hombre|basica-|fuera_PEA|informal|0.43495408937939634|425396.0|1270|False
30-34|hombre|basica-|fuera_PEA|desempleado|0.03988434403490533|425396.0|1270|False
30-34|hombre|basica-|fuera_PEA|fuera_PEA|0.4798298794182313|425396.0|1270|False
30-34|hombre|media_sup|formal_IMSS|formal_IMSS|0.8228980362836631|1901407.0|6493|False
30-34|hombre|media_sup|formal_IMSS|formal_ISSSTE|0.006710607384613339|1901407.0|6493|False
30-34|hombre|media_sup|formal_IMSS|informal|0.13541345874397762|1901407.0|6493|False
30-34|hombre|media_sup|formal_IMSS|desempleado|0.020670081601128175|1901407.0|6493|False
30-34|hombre|media_sup|formal_IMSS|fuera_PEA|0.0143078159866179|1901407.0|6493|False
30-34|hombre|media_sup|formal_ISSSTE|formal_IMSS|0.10225932185960077|166567.0|535|False
30-34|hombre|media_sup|formal_ISSSTE|formal_ISSSTE|0.7376713603129769|166567.0|535|False
30-34|hombre|media_sup|formal_ISSSTE|informal|0.12668437526316823|166567.0|535|False
30-34|hombre|media_sup|formal_ISSSTE|desempleado|0.026493283457252145|166567.0|535|False
30-34|hombre|media_sup|formal_ISSSTE|fuera_PEA|0.00689165910700195|166567.0|535|False
30-34|hombre|media_sup|informal|formal_IMSS|0.10976948849850492|1822040.0|5461|False
30-34|hombre|media_sup|informal|formal_ISSSTE|0.012610570995780553|1822040.0|5461|False
30-34|hombre|media_sup|informal|informal|0.8124418649007725|1822040.0|5461|False
30-34|hombre|media_sup|informal|desempleado|0.021809082616214795|1822040.0|5461|False
30-34|hombre|media_sup|informal|fuera_PEA|0.04336899298872721|1822040.0|5461|False
30-34|hombre|media_sup|desempleado|formal_IMSS|0.3346129390214273|118569.0|385|False
30-34|hombre|media_sup|desempleado|formal_ISSSTE|0.010369712840423834|118569.0|385|False
30-34|hombre|media_sup|desempleado|informal|0.3618146403200212|118569.0|385|False
30-34|hombre|media_sup|desempleado|desempleado|0.11530161767412313|118569.0|385|False
30-34|hombre|media_sup|desempleado|fuera_PEA|0.17790109014400443|118569.0|385|False
30-34|hombre|media_sup|fuera_PEA|formal_IMSS|0.12186135854835871|126485.0|397|False
30-34|hombre|media_sup|fuera_PEA|formal_ISSSTE|0.014250157087157647|126485.0|397|False
30-34|hombre|media_sup|fuera_PEA|informal|0.38707650693106355|126485.0|397|False
30-34|hombre|media_sup|fuera_PEA|desempleado|0.07643665214321904|126485.0|397|False
30-34|hombre|media_sup|fuera_PEA|fuera_PEA|0.40037532529020103|126485.0|397|False
30-34|hombre|superior|formal_IMSS|formal_IMSS|0.8178498581995721|2144397.0|7870|False
30-34|hombre|superior|formal_IMSS|formal_ISSSTE|0.022032759973551773|2144397.0|7870|False
30-34|hombre|superior|formal_IMSS|informal|0.11805756733392499|2144397.0|7870|False
30-34|hombre|superior|formal_IMSS|desempleado|0.024250702886063697|2144397.0|7870|False
30-34|hombre|superior|formal_IMSS|fuera_PEA|0.01780911160688745|2144397.0|7870|False
30-34|hombre|superior|formal_ISSSTE|formal_IMSS|0.07418247764704217|517272.0|1899|False
30-34|hombre|superior|formal_ISSSTE|formal_ISSSTE|0.7999320262925145|517272.0|1899|False
30-34|hombre|superior|formal_ISSSTE|informal|0.09990341092183988|517272.0|1899|False
30-34|hombre|superior|formal_ISSSTE|desempleado|0.014985286487528568|517272.0|1899|False
30-34|hombre|superior|formal_ISSSTE|fuera_PEA|0.01099679865107484|517272.0|1899|False
30-34|hombre|superior|informal|formal_IMSS|0.16907690529922298|1448728.0|5149|False
30-34|hombre|superior|informal|formal_ISSSTE|0.027736748462561987|1448728.0|5149|False
30-34|hombre|superior|informal|informal|0.7295954993394298|1448728.0|5149|False
30-34|hombre|superior|informal|desempleado|0.025947359331588923|1448728.0|5149|False
30-34|hombre|superior|informal|fuera_PEA|0.04764348756719629|1448728.0|5149|False
30-34|hombre|superior|desempleado|formal_IMSS|0.32396536479854265|165937.0|594|False
30-34|hombre|superior|desempleado|formal_ISSSTE|0.05998128803576434|165937.0|594|False
30-34|hombre|superior|desempleado|informal|0.292375249827884|165937.0|594|False
30-34|hombre|superior|desempleado|desempleado|0.17287420964504083|165937.0|594|False
30-34|hombre|superior|desempleado|fuera_PEA|0.15080388769276817|165937.0|594|False
30-34|hombre|superior|fuera_PEA|formal_IMSS|0.1711553185391222|191383.0|560|False
30-34|hombre|superior|fuera_PEA|formal_ISSSTE|0.044371622272685714|191383.0|560|False
30-34|hombre|superior|fuera_PEA|informal|0.278594634344645|191383.0|560|False
30-34|hombre|superior|fuera_PEA|desempleado|0.13299943148661364|191383.0|560|False
30-34|hombre|superior|fuera_PEA|fuera_PEA|0.37287899335693353|191383.0|560|False
30-34|mujer|basica-|formal_IMSS|formal_IMSS|0.7107167274708233|981911.0|3506|False
30-34|mujer|basica-|formal_IMSS|formal_ISSSTE|0.00408469892083164|981911.0|3506|False
30-34|mujer|basica-|formal_IMSS|informal|0.12256857300797305|981911.0|3506|False
30-34|mujer|basica-|formal_IMSS|desempleado|0.01926759203206943|981911.0|3506|False
30-34|mujer|basica-|formal_IMSS|fuera_PEA|0.14336240856830265|981911.0|3506|False
30-34|mujer|basica-|formal_ISSSTE|formal_IMSS|0.0073009342404011714|27384.0|69|False
30-34|mujer|basica-|formal_ISSSTE|formal_ISSSTE|0.6977955235330728|27384.0|69|False
30-34|mujer|basica-|formal_ISSSTE|informal|0.1890380077759489|27384.0|69|False
30-34|mujer|basica-|formal_ISSSTE|desempleado|0.015837956127409403|27384.0|69|False
30-34|mujer|basica-|formal_ISSSTE|fuera_PEA|0.09002757832316768|27384.0|69|False
30-34|mujer|basica-|informal|formal_IMSS|0.04741348824177447|3197777.0|9178|False
30-34|mujer|basica-|informal|formal_ISSSTE|0.0020743253012275196|3197777.0|9178|False
30-34|mujer|basica-|informal|informal|0.6435686036633664|3197777.0|9178|False
30-34|mujer|basica-|informal|desempleado|0.013735777511248133|3197777.0|9178|False
30-34|mujer|basica-|informal|fuera_PEA|0.29320780528238344|3197777.0|9178|False
30-34|mujer|basica-|desempleado|formal_IMSS|0.15745681051073818|120900.0|405|False
30-34|mujer|basica-|desempleado|formal_ISSSTE|0.022231534728265497|120900.0|405|False
30-34|mujer|basica-|desempleado|informal|0.3209262310972262|120900.0|405|False
30-34|mujer|basica-|desempleado|desempleado|0.05695968282950054|120900.0|405|False
30-34|mujer|basica-|desempleado|fuera_PEA|0.4424257408342696|120900.0|405|False
30-34|mujer|basica-|fuera_PEA|formal_IMSS|0.025290472088934424|5274561.0|14152|False
30-34|mujer|basica-|fuera_PEA|formal_ISSSTE|0.0005133556866045979|5274561.0|14152|False
30-34|mujer|basica-|fuera_PEA|informal|0.18959597924384816|5274561.0|14152|False
30-34|mujer|basica-|fuera_PEA|desempleado|0.010614781590145669|5274561.0|14152|False
30-34|mujer|basica-|fuera_PEA|fuera_PEA|0.7739854113904673|5274561.0|14152|False
30-34|mujer|media_sup|formal_IMSS|formal_IMSS|0.7786567490592015|1108011.0|4038|False
30-34|mujer|media_sup|formal_IMSS|formal_ISSSTE|0.012241160694387614|1108011.0|4038|False
30-34|mujer|media_sup|formal_IMSS|informal|0.09160892351521359|1108011.0|4038|False
30-34|mujer|media_sup|formal_IMSS|desempleado|0.021375298961627313|1108011.0|4038|False
30-34|mujer|media_sup|formal_IMSS|fuera_PEA|0.09611786776957003|1108011.0|4038|False
30-34|mujer|media_sup|formal_ISSSTE|formal_IMSS|0.10566189614657959|122015.0|373|False
30-34|mujer|media_sup|formal_ISSSTE|formal_ISSSTE|0.6214257809809411|122015.0|373|False
30-34|mujer|media_sup|formal_ISSSTE|informal|0.14413738103701634|122015.0|373|False
30-34|mujer|media_sup|formal_ISSSTE|desempleado|0.023963238659925584|122015.0|373|False
30-34|mujer|media_sup|formal_ISSSTE|fuera_PEA|0.10481170317553737|122015.0|373|False
30-34|mujer|media_sup|informal|formal_IMSS|0.08439698980841442|1528303.0|4773|False
30-34|mujer|media_sup|informal|formal_ISSSTE|0.012612710559085897|1528303.0|4773|False
30-34|mujer|media_sup|informal|informal|0.6346174293775404|1528303.0|4773|False
30-34|mujer|media_sup|informal|desempleado|0.01877703259396005|1528303.0|4773|False
