grupo_edad|sexo|escolaridad|estado_origen|estado_destino|probabilidad|n_muestra_pond|n_muestra_sin_pond|baja_confianza
25-29|hombre|basica-|formal_IMSS|formal_IMSS|0.7846682691559597|260483.0|908|False
25-29|hombre|basica-|formal_IMSS|informal|0.1743973136921301|260483.0|908|False
25-29|hombre|basica-|formal_IMSS|desempleado|0.016682130397236025|260483.0|908|False
25-29|hombre|basica-|formal_IMSS|fuera_PEA|0.02425228675467415|260483.0|908|False
25-29|hombre|basica-|informal|formal_IMSS|0.07502941892303006|583518.0|1507|False
25-29|hombre|basica-|informal|informal|0.8539198215411923|583518.0|1507|False
25-29|hombre|basica-|informal|desempleado|0.011345867387758229|583518.0|1507|False
25-29|hombre|basica-|informal|fuera_PEA|0.05970489214801944|583518.0|1507|False
25-29|hombre|basica-|desempleado|formal_IMSS|0.19294410675713822|23292.0|78|False
25-29|hombre|basica-|desempleado|informal|0.4247909887937706|23292.0|78|False
25-29|hombre|basica-|desempleado|desempleado|0.2234291992698036|23292.0|78|False
25-29|hombre|basica-|desempleado|fuera_PEA|0.15883570517928763|23292.0|78|False
25-29|hombre|basica-|fuera_PEA|formal_IMSS|0.06899630285898889|57361.0|213|False
25-29|hombre|basica-|fuera_PEA|informal|0.2937052223961696|57361.0|213|False
25-29|hombre|basica-|fuera_PEA|desempleado|0.03550891969482302|57361.0|213|False
25-29|hombre|basica-|fuera_PEA|fuera_PEA|0.6017895550500185|57361.0|213|False
25-29|hombre|media_sup|formal_IMSS|formal_IMSS|0.807419390404172|383813.0|1314|False
25-29|hombre|media_sup|formal_IMSS|informal|0.14528370094957455|383813.0|1314|False
25-29|hombre|media_sup|formal_IMSS|desempleado|0.030284700627390058|383813.0|1314|False
25-29|hombre|media_sup|formal_IMSS|fuera_PEA|0.01701220801886343|383813.0|1314|False
25-29|hombre|media_sup|informal|formal_IMSS|0.1081801078958598|409447.0|1226|False
25-29|hombre|media_sup|informal|informal|0.8161317360196747|409447.0|1226|False
25-29|hombre|media_sup|informal|desempleado|0.02506876763831527|409447.0|1226|False
25-29|hombre|media_sup|informal|fuera_PEA|0.05061938844615025|409447.0|1226|False
25-29|hombre|media_sup|desempleado|formal_IMSS|0.2717215729248663|30012.0|98|False
25-29|hombre|media_sup|desempleado|informal|0.3616295257916095|30012.0|98|False
25-29|hombre|media_sup|desempleado|desempleado|0.21145930435356333|30012.0|98|False
25-29|hombre|media_sup|desempleado|fuera_PEA|0.15518959692996087|30012.0|98|False
25-29|hombre|media_sup|fuera_PEA|formal_IMSS|0.1394270138200734|53749.0|153|False
25-29|hombre|media_sup|fuera_PEA|informal|0.32079381022650366|53749.0|153|False
25-29|hombre|media_sup|fuera_PEA|desempleado|0.08421598328554286|53749.0|153|False
25-29|hombre|media_sup|fuera_PEA|fuera_PEA|0.45556319266788003|53749.0|153|False
25-29|hombre|superior|formal_IMSS|formal_IMSS|0.8202670051176733|508301.0|1846|False
25-29|hombre|superior|formal_IMSS|informal|0.11503242606277193|508301.0|1846|False
25-29|hombre|superior|formal_IMSS|desempleado|0.017719276457903436|508301.0|1846|False
25-29|hombre|superior|formal_IMSS|fuera_PEA|0.04698129236165134|508301.0|1846|False
25-29|hombre|superior|informal|formal_IMSS|0.14789157220970992|375301.0|1363|False
25-29|hombre|superior|informal|informal|0.734317224851738|375301.0|1363|False
25-29|hombre|superior|informal|desempleado|0.039873251613184606|375301.0|1363|False
25-29|hombre|superior|informal|fuera_PEA|0.07791795132536747|375301.0|1363|False
25-29|hombre|superior|desempleado|formal_IMSS|0.29446975323078217|62167.0|184|False
25-29|hombre|superior|desempleado|informal|0.2943569962246974|62167.0|184|False
25-29|hombre|superior|desempleado|desempleado|0.2257867973632385|62167.0|184|False
25-29|hombre|superior|desempleado|fuera_PEA|0.18538645318128194|62167.0|184|False
25-29|hombre|superior|fuera_PEA|formal_IMSS|0.09960346673323639|100493.0|335|False
25-29|hombre|superior|fuera_PEA|informal|0.23491267763060092|100493.0|335|False
25-29|hombre|superior|fuera_PEA|desempleado|0.0716636291448684|100493.0|335|False
25-29|hombre|superior|fuera_PEA|fuera_PEA|0.5938202264912944|100493.0|335|False
25-29|mujer|basica-|formal_IMSS|formal_IMSS|0.821412594824783|133001.0|438|False
25-29|mujer|basica-|formal_IMSS|informal|0.08584046485874897|133001.0|438|False
25-29|mujer|basica-|formal_IMSS|desempleado|0.008527509927533143|133001.0|438|False
25-29|mujer|basica-|formal_IMSS|fuera_PEA|0.08421943038893495|133001.0|438|False
25-29|mujer|basica-|informal|formal_IMSS|0.042057677424808496|328708.0|950|False
25-29|mujer|basica-|informal|informal|0.6564916063607626|328708.0|950|False
25-29|mujer|basica-|informal|desempleado|0.020056374921839787|328708.0|950|False
25-29|mujer|basica-|informal|fuera_PEA|0.2813943412925891|328708.0|950|False
25-29|mujer|basica-|desempleado|formal_IMSS|0.3559212268371601|17632.0|59|False
25-29|mujer|basica-|desempleado|informal|0.28969768425647685|17632.0|59|False
25-29|mujer|basica-|desempleado|desempleado|0.026035719657173717|17632.0|59|False
25-29|mujer|basica-|desempleado|fuera_PEA|0.3283453692491894|17632.0|59|False
25-29|mujer|basica-|fuera_PEA|formal_IMSS|0.018722087391312838|587390.0|1575|False
25-29|mujer|basica-|fuera_PEA|informal|0.1641743280523653|587390.0|1575|False
25-29|mujer|basica-|fuera_PEA|desempleado|0.006188087853165651|587390.0|1575|False
25-29|mujer|basica-|fuera_PEA|fuera_PEA|0.8109154967031562|587390.0|1575|False
25-29|mujer|media_sup|formal_IMSS|formal_IMSS|0.804105735119406|219456.0|780|False
25-29|mujer|media_sup|formal_IMSS|informal|0.09211705798530645|219456.0|780|False
25-29|mujer|media_sup|formal_IMSS|desempleado|0.01675137864341137|219456.0|780|False
25-29|mujer|media_sup|formal_IMSS|fuera_PEA|0.08702582825187613|219456.0|780|False
25-29|mujer|media_sup|informal|formal_IMSS|0.061181726159445955|309271.0|892|False
25-29|mujer|media_sup|informal|informal|0.6550304287981316|309271.0|892|False
25-29|mujer|media_sup|informal|desempleado|0.012949840156229851|309271.0|892|False
25-29|mujer|media_sup|informal|fuera_PEA|0.2708380048861926|309271.0|892|False
25-29|mujer|media_sup|desempleado|formal_IMSS|0.22271374866526786|23174.0|74|False
25-29|mujer|media_sup|desempleado|informal|0.35713180191907756|23174.0|74|False
25-29|mujer|media_sup|desempleado|desempleado|0.09093532331667763|23174.0|74|False
25-29|mujer|media_sup|desempleado|fuera_PEA|0.3292191260989769|23174.0|74|False
25-29|mujer|media_sup|fuera_PEA|formal_IMSS|0.04082174485719113|383514.0|1148|False
25-29|mujer|media_sup|fuera_PEA|informal|0.2066869165825189|383514.0|1148|False
25-29|mujer|media_sup|fuera_PEA|desempleado|0.020827270142681303|383514.0|1148|False
25-29|mujer|media_sup|fuera_PEA|fuera_PEA|0.7316640684176087|383514.0|1148|False
25-29|mujer|superior|formal_IMSS|formal_IMSS|0.7956019533117742|486727.0|1710|False
25-29|mujer|superior|formal_IMSS|informal|0.1196768673065721|486727.0|1710|False
25-29|mujer|superior|formal_IMSS|desempleado|0.025396084053287207|486727.0|1710|False
25-29|mujer|superior|formal_IMSS|fuera_PEA|0.0593250953283664|486727.0|1710|False
25-29|mujer|superior|informal|formal_IMSS|0.13630602209083723|417828.0|1407|False
25-29|mujer|superior|informal|informal|0.7126070680706317|417828.0|1407|False
25-29|mujer|superior|informal|desempleado|0.013735603889827875|417828.0|1407|False
25-29|mujer|superior|informal|fuera_PEA|0.13735130594870323|417828.0|1407|False
25-29|mujer|superior|desempleado|formal_IMSS|0.2241339799239143|62268.0|201|False
25-29|mujer|superior|desempleado|informal|0.2113748445745554|62268.0|201|False
25-29|mujer|superior|desempleado|desempleado|0.32582268713376544|62268.0|201|False
25-29|mujer|superior|desempleado|fuera_PEA|0.23866848836776486|62268.0|201|False
25-29|mujer|superior|fuera_PEA|formal_IMSS|0.07398964059701976|280043.0|898|False
25-29|mujer|superior|fuera_PEA|informal|0.21138081315058582|280043.0|898|False
25-29|mujer|superior|fuera_PEA|desempleado|0.09746131124222394|280043.0|898|False
25-29|mujer|superior|fuera_PEA|fuera_PEA|0.6171682350101705|280043.0|898|False
30-34|hombre|basica-|formal_IMSS|formal_IMSS|0.7967901195546209|340356.0|1121|False
30-34|hombre|basica-|formal_IMSS|informal|0.16421904862461945|340356.0|1121|False
30-34|hombre|basica-|formal_IMSS|desempleado|0.01920953008342854|340356.0|1121|False
30-34|hombre|basica-|formal_IMSS|fuera_PEA|0.0197813017373311|340356.0|1121|False
30-34|hombre|basica-|informal|formal_IMSS|0.059596961322167546|778172.0|2041|False
30-34|hombre|basica-|informal|informal|0.876827253808186|778172.0|2041|False
30-34|hombre|basica-|informal|desempleado|0.012262878001712661|778172.0|2041|False
30-34|hombre|basica-|informal|fuera_PEA|0.05131290686793383|778172.0|2041|False
30-34|hombre|basica-|desempleado|formal_IMSS|0.247776498718496|25902.0|84|False
30-34|hombre|basica-|desempleado|informal|0.48464887579159077|25902.0|84|False
30-34|hombre|basica-|desempleado|desempleado|0.12324585951622707|25902.0|84|False
30-34|hombre|basica-|desempleado|fuera_PEA|0.14432876597368613|25902.0|84|False
30-34|hombre|basica-|fuera_PEA|formal_IMSS|0.04084282182748576|69644.0|227|False
30-34|hombre|basica-|fuera_PEA|informal|0.3508445409672199|69644.0|227|False
30-34|hombre|basica-|fuera_PEA|desempleado|0.008407800993069205|69644.0|227|False
30-34|hombre|basica-|fuera_PEA|fuera_PEA|0.5999048362122251|69644.0|227|False
30-34|hombre|media_sup|formal_IMSS|formal_IMSS|0.8406099719340946|385582.0|1289|False
30-34|hombre|media_sup|formal_IMSS|informal|0.1250020497825024|385582.0|1289|False
30-34|hombre|media_sup|formal_IMSS|desempleado|0.010196654732848327|385582.0|1289|False
30-34|hombre|media_sup|formal_IMSS|fuera_PEA|0.024191323550554554|385582.0|1289|False
30-34|hombre|media_sup|informal|formal_IMSS|0.10182149302920113|377627.0|1132|False
30-34|hombre|media_sup|informal|informal|0.8316624771999271|377627.0|1132|False
30-34|hombre|media_sup|informal|desempleado|0.021893260323157093|377627.0|1132|False
30-34|hombre|media_sup|informal|fuera_PEA|0.04462276944771465|377627.0|1132|False
30-34|hombre|media_sup|desempleado|formal_IMSS|0.13593578913459137|21702.0|61|False
30-34|hombre|media_sup|desempleado|informal|0.40503801995781846|21702.0|61|False
30-34|hombre|media_sup|desempleado|desempleado|0.36762755133413494|21702.0|61|False
30-34|hombre|media_sup|desempleado|fuera_PEA|0.09139863957345523|21702.0|61|False
30-34|hombre|media_sup|fuera_PEA|formal_IMSS|0.20205607943232537|30040.0|97|False
30-34|hombre|media_sup|fuera_PEA|informal|0.3711829055885357|30040.0|97|False
