grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
25-29|hombre|basica-|formal_IMSS|formal_IMSS|908|0.784577017037243|0.7846682691559597|0.7850034584444031|9.125211871663375e-05|0.0003351892884434493
25-29|hombre|basica-|formal_IMSS|informal|908|0.17461348755004702|0.1743973136921301|0.17360325912513197|0.00021617385791691812|0.0007940545669981314
25-29|hombre|basica-|formal_IMSS|desempleado|908|0.016662461339221734|0.016682130397236025|0.01675437921351427|1.9669058014291224e-05|7.224881627824337e-05
25-29|hombre|basica-|formal_IMSS|fuera_PEA|908|0.024147034073488213|0.02425228675467415|0.02463890321695062|0.00010525268118593764|0.0003866164622764699
25-29|hombre|basica-|informal|formal_IMSS|1507|0.07497322285452525|0.07502941892303006|0.07523753206474242|5.6196068504807406e-05|0.00020811314171235995
25-29|hombre|basica-|informal|informal|1507|0.8541889249123974|0.8539198215411923|0.8529232402941954|0.00026910337120511496|0.0009965812469968638
25-29|hombre|basica-|informal|desempleado|1507|0.011323236527505925|0.011345867387758229|0.011429677155097323|2.2630860252304333e-05|8.380976733909397e-05
25-29|hombre|basica-|informal|fuera_PEA|1507|0.059514615705571566|0.05970489214801944|0.060409550485964886|0.00019027644244787312|0.0007046583379454463
25-29|hombre|basica-|desempleado|formal_IMSS|78|0.189652827305376|0.19294410675713822|0.20289351020187865|0.003291279451762219|0.009949403444740434
25-29|hombre|basica-|desempleado|informal|78|0.43105681224951625|0.4247909887937706|0.4058496602349477|0.006265823455745667|0.018941328558822912
25-29|hombre|basica-|desempleado|desempleado|78|0.22359492926126184|0.2234291992698036|0.22292820427011462|0.00016572999145825218|0.0005009949996889751
25-29|hombre|basica-|desempleado|fuera_PEA|78|0.15569543118384596|0.15883570517928763|0.16832862529305903|0.0031402739954416725|0.009492920113771397
25-29|hombre|basica-|fuera_PEA|formal_IMSS|213|0.0694030759830826|0.06899630285898889|0.06759529242085498|0.0004067731240937067|0.0014010104381339122
25-29|hombre|basica-|fuera_PEA|informal|213|0.2954511753009256|0.2937052223961696|0.287691800910905|0.0017459529047559874|0.0060134214852645695
25-29|hombre|basica-|fuera_PEA|desempleado|213|0.0354974376430828|0.03550891969482302|0.035548466246417526|1.1482051740216437e-05|3.9546551594507595e-05
25-29|hombre|basica-|fuera_PEA|fuera_PEA|213|0.5996483110729091|0.6017895550500185|0.6091644404218224|0.002141243977109464|0.007374885371803863
25-29|hombre|media_sup|formal_IMSS|formal_IMSS|1314|0.8074255168749548|0.807419390404172|0.8073967433584092|6.126470782796822e-06|2.2647045762824725e-05
25-29|hombre|media_sup|formal_IMSS|informal|1314|0.14534457363845382|0.14528370094957455|0.1450586796249599|6.087268887927655e-05|0.00022502132461463265
25-29|hombre|media_sup|formal_IMSS|desempleado|1314|0.030312480937036923|0.030284700627390058|0.030182008234626863|2.778030964686526e-05|0.00010269239276319495
25-29|hombre|media_sup|formal_IMSS|fuera_PEA|1314|0.016917428549554487|0.01701220801886343|0.017362568782004154|9.47794693089421e-05|0.0003503607631407252
25-29|hombre|media_sup|informal|formal_IMSS|1226|0.10821911285477263|0.1081801078958598|0.1080360697199387|3.900495891283329e-05|0.00014403817592109625
25-29|hombre|media_sup|informal|informal|1226|0.8163392792484367|0.8161317360196747|0.815365316853269|0.00020754322876204157|0.0007664191664057407
25-29|hombre|media_sup|informal|desempleado|1226|0.025085690428650848|0.02506876763831527|0.025006274870232156|1.692279033557731e-05|6.249276808311527e-05
25-29|hombre|media_sup|informal|fuera_PEA|1226|0.05035591746813976|0.05061938844615025|0.05159233855656016|0.00026347097801048686|0.0009729501104099106
25-29|hombre|media_sup|desempleado|formal_IMSS|98|0.27227812633882287|0.2717215729248663|0.2699705521203633|0.0005565534139565509|0.0017510208045030118
25-29|hombre|media_sup|desempleado|informal|98|0.36407754802388487|0.3616295257916095|0.35392759143794655|0.0024480222322753598|0.007701934353662954
25-29|hombre|media_sup|desempleado|desempleado|98|0.2111079214208385|0.21145930435356333|0.21256482057198778|0.00035138293272482524|0.001105516218424446
25-29|hombre|media_sup|desempleado|fuera_PEA|98|0.15253640421645379|0.15518959692996087|0.1635370358697024|0.0026531927135070854|0.00834743893974152
25-29|hombre|media_sup|fuera_PEA|formal_IMSS|153|0.1418216390954006|0.1394270138200734|0.1314333947651516|0.002394625275327217|0.007993619054921797
25-29|hombre|media_sup|fuera_PEA|informal|153|0.32392360420662775|0.32079381022650366|0.3103460875471878|0.003129793980124085|0.010447722679315874
25-29|hombre|media_sup|fuera_PEA|desempleado|153|0.08546514624197452|0.08421598328554286|0.08004608960150078|0.0012491629564316542|0.004169893684042081
25-29|hombre|media_sup|fuera_PEA|fuera_PEA|153|0.4487896104559971|0.45556319266788003|0.4781744280861598|0.006773582211882956|0.02261123541827975
25-29|hombre|superior|formal_IMSS|formal_IMSS|1846|0.8202991906985794|0.8202670051176733|0.8201475381403153|3.2185580906118894e-05|0.00011946697735798484
25-29|hombre|superior|formal_IMSS|informal|1846|0.11501025090648012|0.11503242606277193|0.11511473617867016|2.2175156291812104e-05|8.231011589822368e-05
25-29|hombre|superior|formal_IMSS|desempleado|1846|0.017711842462509654|0.017719276457903436|0.017746870086304403|7.433995393782422e-06|2.7593628400966047e-05
25-29|hombre|superior|formal_IMSS|fuera_PEA|1846|0.04697871593243093|0.04698129236165134|0.046990855594710244|2.5764292204133454e-06|9.563233058902665e-06
25-29|hombre|superior|informal|formal_IMSS|1363|0.14804311542220364|0.14789157220970992|0.14733109243248255|0.00015154321249372105|0.0005604797772273684
25-29|hombre|superior|informal|informal|1363|0.7342639972102566|0.734317224851738|0.7345140863023364|5.322764148141257e-05|0.00019686145059838456
25-29|hombre|superior|informal|desempleado|1363|0.039931889589461166|0.039873251613184606|0.039656380139103185|5.863797627655987e-05|0.00021687147408142038
25-29|hombre|superior|informal|fuera_PEA|1363|0.07776099777807861|0.07791795132536747|0.07849844112607786|0.00015695354728885447|0.0005804898007103904
25-29|hombre|superior|desempleado|formal_IMSS|184|0.2952594370643246|0.29446975323078217|0.2917842475468601|0.0007896838335424428|0.0026855056839220626
25-29|hombre|superior|desempleado|informal|184|0.2942124777529548|0.2943569962246974|0.29484846529220454|0.00014451847174262733|0.0004914690675071332
25-29|hombre|superior|desempleado|desempleado|184|0.22590854364269225|0.2257867973632385|0.2253727704937726|0.00012174627945374383|0.00041402686946589995
25-29|hombre|superior|desempleado|fuera_PEA|184|0.18461954154002835|0.18538645318128194|0.18799451666716274|0.000766911641253587|0.0026080634858808016
25-29|hombre|superior|fuera_PEA|formal_IMSS|335|0.1002269134714895|0.09960346673323639|0.09739066985943663|0.0006234467382531111|0.0022127968737997578
25-29|hombre|superior|fuera_PEA|informal|335|0.23532477210249225|0.23491267763060092|0.23345003246276116|0.0004120944718913333|0.0014626451678397545
25-29|hombre|superior|fuera_PEA|desempleado|335|0.07208672937917726|0.0716636291448684|0.07016192127098345|0.0004231002343088597|0.0015017078738849554
25-29|hombre|superior|fuera_PEA|fuera_PEA|335|0.592361585046841|0.5938202264912944|0.5989973764068188|0.0014586414444534013|0.005177149915524426
25-29|mujer|basica-|formal_IMSS|formal_IMSS|438|0.8215584470497529|0.821412594824783|0.8208883388742222|0.00014585222496987793|0.0005242559505608257
25-29|mujer|basica-|formal_IMSS|informal|438|0.08548118158201308|0.08584046485874897|0.08713188427867573|0.0003592832767358861|0.001291419419926762
25-29|mujer|basica-|formal_IMSS|desempleado|438|0.008412481099255692|0.008527509927533143|0.008940973264982386|0.00011502882827745149|0.0004134633374492432
25-29|mujer|basica-|formal_IMSS|fuera_PEA|438|0.08454789026897831|0.08421943038893495|0.08303880358211978|0.0003284598800433608|0.0011806268068151743
25-29|mujer|basica-|informal|formal_IMSS|950|0.04182988495656648|0.042057677424808496|0.04289516700199208|0.00022779246824201904|0.0008374895771835825
25-29|mujer|basica-|informal|informal|950|0.6560879207908944|0.6564916063607626|0.6579757750860638|0.00040368556986825066|0.0014841687253011049
25-29|mujer|basica-|informal|desempleado|950|0.020057126439059398|0.020056374921839787|0.020053611933917696|7.515172196111142e-07|2.762987922091259e-06
25-29|mujer|basica-|informal|fuera_PEA|950|0.28202506781347964|0.2813943412925891|0.27907544597802647|0.0006307265208905233|0.002318895314562641
25-29|mujer|basica-|desempleado|formal_IMSS|59|0.36245285023100793|0.3559212268371601|0.33731850198126434|0.00653162339384783|0.018602724855895758
25-29|mujer|basica-|desempleado|informal|59|0.28894146483738903|0.28969768425647685|0.2918514737412207|0.0007562194190878224|0.0021537894847438732
25-29|mujer|basica-|desempleado|desempleado|59|0.01309436550508514|0.026035719657173717|0.06289400679919814|0.012941354152088577|0.03685828714202442
25-29|mujer|basica-|desempleado|fuera_PEA|59|0.3355113194265179|0.3283453692491894|0.30793601747831684|0.007165950177328517|0.020409351770872552
25-29|mujer|basica-|fuera_PEA|formal_IMSS|1575|0.018649722281341614|0.018722087391312838|0.018990223942993052|7.236510997122442e-05|0.0002681365516802141
25-29|mujer|basica-|fuera_PEA|informal|1575|0.1640826467987121|0.1641743280523653|0.16451403727436556|9.168125365319191e-05|0.00033970922200027287
25-29|mujer|basica-|fuera_PEA|desempleado|1575|0.006112110387151036|0.006188087853165651|0.0064696093730066415|7.597746601461543e-05|0.0002815215198409904
25-29|mujer|basica-|fuera_PEA|fuera_PEA|1575|0.8111555205327952|0.8109154967031562|0.8100261294096347|0.00024002382963894675|0.0008893672935215147
25-29|mujer|media_sup|formal_IMSS|formal_IMSS|780|0.8040990791500594|0.804105735119406|0.8041301022071857|6.655969346569535e-06|2.436708777975305e-05
25-29|mujer|media_sup|formal_IMSS|informal|780|0.09194725134512613|0.09211705798530645|0.09273870948209156|0.00016980664018032|0.0006216514967851139
25-29|mujer|media_sup|formal_IMSS|desempleado|780|0.016728840639889875|0.01675137864341137|0.016833888865678347|2.2538003521494626e-05|8.251022226697657e-05
25-29|mujer|media_sup|formal_IMSS|fuera_PEA|780|0.08722482886492453|0.08702582825187613|0.08629729944504431|0.00019900061304839456|0.0007285288068318158
25-29|mujer|media_sup|informal|formal_IMSS|892|0.061024800692077975|0.061181726159445955|0.06175793685993775|0.00015692546736797985|0.0005762107004917971
25-29|mujer|media_sup|informal|informal|892|0.6545939789804438|0.6550304287981316|0.6566330179724534|0.00043644981768775626|0.0016025891743218779
25-29|mujer|media_sup|informal|desempleado|892|0.01291880830159761|0.012949840156229851|0.013063785247457611|3.1031854632240785e-05|0.00011394509122776043
25-29|mujer|media_sup|informal|fuera_PEA|892|0.2714624120258805|0.2708380048861926|0.26854525992015105|0.0006244071396879214|0.0022927449660415378
25-29|mujer|media_sup|desempleado|formal_IMSS|74|0.22083464854451187|0.22271374866526786|0.22833605620742337|0.0018791001207559832|0.005622307542155508
25-29|mujer|media_sup|desempleado|informal|74|0.360123312659146|0.35713180191907756|0.3481811381356282|0.002991510740068426|0.008950663783449386
25-29|mujer|media_sup|desempleado|desempleado|74|0.08404355219018031|0.09093532331667763|0.11155564916058582|0.0068917711264973175|0.020620325843908188
25-29|mujer|media_sup|desempleado|fuera_PEA|74|0.33499848660616177|0.3292191260989769|0.3119271564963626|0.005779360507184861|0.01729196960261431
25-29|mujer|media_sup|fuera_PEA|formal_IMSS|1148|0.04079942215618927|0.04082174485719113|0.04090409326296319|2.2322701001858958e-05|8.234840577205776e-05
25-29|mujer|media_sup|fuera_PEA|informal|1148|0.20670916262112918|0.2066869165825189|0.20660485098417827|2.224603861028518e-05|8.206559834061933e-05
25-29|mujer|media_sup|fuera_PEA|desempleado|1148|0.02077402057150552|0.020827270142681303|0.021023707719567988|5.324957117578202e-05|0.00019643757688668495
25-29|mujer|media_sup|fuera_PEA|fuera_PEA|1148|0.7317173946511761|0.7316640684176087|0.7314673480332906|5.3326233567463355e-05|0.00019672038431806094
25-29|mujer|superior|formal_IMSS|formal_IMSS|1710|0.7955790348785245|0.7956019533117742|0.7956869535414496|2.2918433249641268e-05|8.500022967539156e-05
25-29|mujer|superior|formal_IMSS|informal|1710|0.11966378738331332|0.1196768673065721|0.1197253783225311|1.3079923258774162e-05|4.851101595901297e-05
25-29|mujer|superior|formal_IMSS|desempleado|1710|0.02540600611108336|0.025396084053287207|0.02535928497621521|9.922057796152295e-06|3.679907707199864e-05
25-29|mujer|superior|formal_IMSS|fuera_PEA|1710|0.0593511716270787|0.0593250953283664|0.059228383159804075|2.607629871230477e-05|9.671216856232262e-05
25-29|mujer|superior|informal|formal_IMSS|1407|0.13641991608328466|0.13630602209083723|0.13588460633742283|0.00011389399244743359|0.00042141575341439474
25-29|mujer|superior|informal|informal|1407|0.712493827211182|0.7126070680706317|0.7130260671861847|0.00011324085944963702|0.0004189991155529871
25-29|mujer|superior|informal|desempleado|1407|0.01371815474831353|0.013735603889827875|0.013800166936215927|1.7449141514344624e-05|6.45630463880515e-05
25-29|mujer|superior|informal|fuera_PEA|1407|0.13736810195721982|0.13735130594870323|0.13728915954017656|1.679600851658969e-05|6.214640852666986e-05
25-29|mujer|superior|desempleado|formal_IMSS|201|0.2234644176267751|0.2241339799239143|0.22642897286546598|0.0006695622971391868|0.0022949929415516934
25-29|mujer|superior|desempleado|informal|201|0.2095992776246893|0.2113748445745554|0.21746078106561234|0.0017755669498661086|0.006085936491056931
25-29|mujer|superior|desempleado|desempleado|201|0.32791509614753306|0.32582268713376544|0.31865074221101003|0.0020924090137676155|0.007171944922755413
25-29|mujer|superior|desempleado|fuera_PEA|201|0.23902120860100257|0.23866848836776486|0.23745950385791165|0.00035272023323770774|0.0012089845098532115
25-29|mujer|superior|fuera_PEA|formal_IMSS|898|0.07410868709257948|0.07398964059701976|0.07355245595850599|0.00011904649555971591|0.00043718463851377676
25-29|mujer|superior|fuera_PEA|informal|898|0.21143013048610915|0.21138081315058582|0.21119970087674828|4.931733552332451e-05|0.00018111227383754702
25-29|mujer|superior|fuera_PEA|desempleado|898|0.09773422826905065|0.09746131124222394|0.09645905467720273|0.00027291702682670504|0.0010022565650212173
25-29|mujer|superior|fuera_PEA|fuera_PEA|898|0.6167269541522609|0.6171682350101705|0.6187887884875432|0.00044128085790962057|0.001620553477372666
30-34|hombre|basica-|formal_IMSS|formal_IMSS|1121|0.7966813941791215|0.7967901195546209|0.7971910503323715|0.00010872537549933003|0.0004009307777506077
30-34|hombre|basica-|formal_IMSS|informal|1121|0.16436948966992534|0.16421904862461945|0.16366428902941826|0.00015044104530589908|0.0005547595952011819
30-34|hombre|basica-|formal_IMSS|desempleado|1121|0.019223435292284034|0.01920953008342854|0.019158253864095073|1.3905208855493484e-05|5.127621933346746e-05
30-34|hombre|basica-|formal_IMSS|fuera_PEA|1121|0.01972568085866906|0.0197813017373311|0.01998640677411511|5.562087866204171e-05|0.00020510503678401043
30-34|hombre|basica-|informal|formal_IMSS|2041|0.059558236587511505|0.059596961322167546|0.05974084033993982|3.872473465604126e-05|0.00014387901777227624
30-34|hombre|basica-|informal|informal|2041|0.8769871218666254|0.876827253808186|0.8762332753232275|0.0001598680584393719|0.0005939784849585683
30-34|hombre|basica-|informal|desempleado|2041|0.01225401201842638|0.012262878001712661|0.012295818936702814|8.865983286280785e-06|3.294093499015341e-05
30-34|hombre|basica-|informal|fuera_PEA|2041|0.05120062952743676|0.05131290686793383|0.05173006540012998|0.00011227734049706894|0.000417158532196156
30-34|hombre|basica-|desempleado|formal_IMSS|84|0.2503126909493954|0.247776498718496|0.24000331339542696|0.0025361922308994034|0.007773185323069032
30-34|hombre|basica-|desempleado|informal|84|0.4879948758067364|0.48464887579159077|0.47439370747594|0.0033460000151456226|0.010255168315650764
30-34|hombre|basica-|desempleado|desempleado|84|0.12113023010113677|0.12324585951622707|0.12973006024757358|0.0021156294150903032|0.006484200731346507
30-34|hombre|basica-|desempleado|fuera_PEA|84|0.1405622031427314|0.14432876597368613|0.15587291888105942|0.0037665628309547228|0.01154415290737329
30-34|hombre|basica-|fuera_PEA|formal_IMSS|227|0.0409176460351491|0.04084282182748576|0.040583814954805|7.482420766333903e-05|0.0002590068726807601
30-34|hombre|basica-|fuera_PEA|informal|227|0.3537469556070634|0.3508445409672199|0.3407977210600694|0.002902414639843476|0.010046819907150506
30-34|hombre|basica-|fuera_PEA|desempleado|227|0.00826423846574892|0.008407800993069205|0.008904748203024036|0.00014356252732028452|0.0004969472099548306
30-34|hombre|basica-|fuera_PEA|fuera_PEA|227|0.5970711598920386|0.5999048362122251|0.6097137157821015|0.0028336763201864956|0.009808879569876416
30-34|hombre|media_sup|formal_IMSS|formal_IMSS|1289|0.8406512816536355|0.8406099719340946|0.840457309009512|4.130971954086071e-05|0.00015266292458260278
30-34|hombre|media_sup|formal_IMSS|informal|1289|0.12501129540844408|0.1250020497825024|0.1249678819326225|9.245625941678437e-06|3.416784987990418e-05
30-34|hombre|media_sup|formal_IMSS|desempleado|1289|0.010180802130471229|0.010196654732848327|0.010255239120930232|1.5852602377098082e-05|5.858438808190557e-05
30-34|hombre|media_sup|formal_IMSS|fuera_PEA|1289|0.02415662080744919|0.024191323550554554|0.02431956993693515|3.4702743105363004e-05|0.00012824638638059618
30-34|hombre|media_sup|informal|formal_IMSS|1132|0.10190077124514155|0.10182149302920113|0.10152910299449901|7.92782159404204e-05|0.00029239003470211966
30-34|hombre|media_sup|informal|informal|1132|0.8317911545775972|0.8316624771999271|0.8311878955954344|0.00012867737767008336|0.0004745816044927631
30-34|hombre|media_sup|informal|desempleado|1132|0.0219112807921908|0.021893260323157093|0.021826798111519104|1.8020469033708242e-05|6.646221163798816e-05
30-34|hombre|media_sup|informal|fuera_PEA|1132|0.044396793385070445|0.04462276944771465|0.045456203298547604|0.00022597606264420506|0.0008334338508329542
30-34|hombre|media_sup|desempleado|formal_IMSS|61|0.13219729721992735|0.13593578913459137|0.1466666455563122|0.0037384919146640216|0.010730856421720836
30-34|hombre|media_sup|desempleado|informal|61|0.40448909379575865|0.40503801995781846|0.4066136413489161|0.0005489261620598151|0.0015756213910976258
30-34|hombre|media_sup|desempleado|desempleado|61|0.3804936524146019|0.36762755133413494|0.33069707601057224|0.012866101080466985|0.036930475323562695
30-34|hombre|media_sup|desempleado|fuera_PEA|61|0.08281995656971207|0.09139863957345523|0.1160226370841995|0.008578683003743162|0.024623997510744275
30-34|hombre|media_sup|fuera_PEA|formal_IMSS|97|0.20881029320545394|0.20205607943232537|0.18084092078596006|0.00675421377312857|0.021215158646365306
30-34|hombre|media_sup|fuera_PEA|informal|97|0.3787655994290416|0.3711829055885357|0.3473654698074595|0.007582693840505861|0.0238174357810762
30-34|hombre|media_sup|fuera_PEA|desempleado|97|0.07199869207930643|0.0698258361173856|0.06300083982673686|0.002172855961920822|0.006824996290648741
30-34|hombre|media_sup|fuera_PEA|fuera_PEA|97|0.3404254152861981|0.35693517886175335|0.4087927695798436|0.01650976357555528|0.05185759071809026
30-34|hombre|superior|formal_IMSS|formal_IMSS|1692|0.8489830960650494|0.8489319575649129|0.8487423164710222|5.11385001364939e-05|0.00018964109389074668
30-34|hombre|superior|formal_IMSS|informal|1692|0.12142639967401532|0.12142779964040849|0.12143299125059459|1.3999663931729689e-06|5.191610186097706e-06
30-34|hombre|superior|formal_IMSS|desempleado|1692|0.01961095564261174|0.019600815780164718|0.01956321329668894|1.0139862447022807e-05|3.760248347577794e-05
30-34|hombre|superior|formal_IMSS|fuera_PEA|1692|0.009979548618323567|0.010039427014513812|0.010261478981694192|5.987839619024486e-05|0.00022205196718038007
30-34|hombre|superior|informal|formal_IMSS|1321|0.12374084302821879|0.1236069820790057|0.12311211581821231|0.00013386094921309655|0.0004948662607933835
30-34|hombre|superior|informal|informal|1321|0.8123862264609804|0.8123344267129077|0.8121429298813861|5.17997480726784e-05|0.00019149683152153152
30-34|hombre|superior|informal|desempleado|1321|0.032793581767214953|0.03274530237265129|0.03256681982339746|4.827939456366476e-05|0.00017848254925383056
30-34|hombre|superior|informal|fuera_PEA|1321|0.03107934874358584|0.03131328883543531|0.03217813447700411|0.0002339400918494744|0.0008648456415687941
30-34|hombre|superior|desempleado|formal_IMSS|106|0.3051951136450452|0.3011838451825889|0.288409865257505|0.004011268462456308|0.01277397992508389
30-34|hombre|superior|desempleado|informal|106|0.358147689139485|0.36014403819643137|0.3665014593003974|0.001996349056946345|0.006357421103966032
30-34|hombre|superior|desempleado|desempleado|106|0.2299907764993066|0.2277641894033639|0.22067356978235586|0.0022265870959427003|0.007090619621008043
30-34|hombre|superior|desempleado|fuera_PEA|106|0.10666642071616313|0.11090792721761578|0.1244151056597418|0.004241506501452649|0.013507178442126025
30-34|hombre|superior|fuera_PEA|formal_IMSS|133|0.11159091098727168|0.10941661913229789|0.10227556254978591|0.002174291854973795|0.007141056582511976
30-34|hombre|superior|fuera_PEA|informal|133|0.3234677407877109|0.3194659774749118|0.3063229313005225|0.0040017633127991115|0.013143046174389272
30-34|hombre|superior|fuera_PEA|desempleado|133|0.1254566032580548|0.12230107461435251|0.11193732857866358|0.0031555286437022906|0.010363746035688931
30-34|hombre|superior|fuera_PEA|fuera_PEA|133|0.43948474496696266|0.44881632877843786|0.47946417757102794|0.009331583811475197|0.030647848792590082
30-34|mujer|basica-|formal_IMSS|formal_IMSS|622|0.7519719870172894|0.752452469316268|0.7542009533832288|0.0004804822989785684|0.0017484840669608204
30-34|mujer|basica-|formal_IMSS|informal|622|0.15333904368006282|0.15313924330836426|0.1524121660211669|0.0001998003716985608|0.0007270772871973696
30-34|mujer|basica-|formal_IMSS|desempleado|622|0.013227124379812667|0.013240406642138982|0.01328874104301103|1.3282262326315061e-05|4.8334400872047933e-05
30-34|mujer|basica-|formal_IMSS|fuera_PEA|622|0.08146184492283516|0.08116788073322877|0.0800981395525934|0.0002939641896063938|0.0010697411806353668
30-34|mujer|basica-|informal|formal_IMSS|1333|0.04504565680774794|0.045148258546331886|0.045527611981118425|0.00010260173858394478|0.00037935343478653905
30-34|mujer|basica-|informal|informal|1333|0.6944387094454065|0.6947399826906366|0.6958538920840318|0.0003012732452301048|0.0011139093933951738
