grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
25-29|hombre|basica-|formal_IMSS|formal_IMSS|6189|0.7397974406095432|0.7398070898514914|0.7398431637810643|9.649241948128662e-06|3.6073929572943975e-05
25-29|hombre|basica-|formal_IMSS|formal_ISSSTE|6189|0.0014417978612638568|0.0014477430057367256|0.0014699690753254625|5.94514447286882e-06|2.2226069588736873e-05
25-29|hombre|basica-|formal_IMSS|informal|6189|0.20749566319087787|0.2074532904512724|0.20729487891671092|4.237273960547294e-05|0.0001584115345614756
25-29|hombre|basica-|formal_IMSS|desempleado|6189|0.03116860281118177|0.031169303455706416|0.03117192283258324|7.006445246447723e-07|2.6193768768237313e-06
25-29|hombre|basica-|formal_IMSS|fuera_PEA|6189|0.020096495527133253|0.020122573235793216|0.020220065394316228|2.6077708659963394e-05|9.74921585230118e-05
25-29|hombre|basica-|formal_ISSSTE|formal_IMSS|153|0.11953975409488271|0.11871945589117378|0.11598117720538241|0.0008202982037089357|0.002738278685791365
25-29|hombre|basica-|formal_ISSSTE|formal_ISSSTE|153|0.6513193915189371|0.6535008220578352|0.6607827650417291|0.002181430538898077|0.007281942983893841
25-29|hombre|basica-|formal_ISSSTE|informal|153|0.2167277795872229|0.21373316030312928|0.20373667107443527|0.0029946192840936137|0.009996489228694005
25-29|hombre|basica-|formal_ISSSTE|desempleado|153|0.004437943235463938|0.00495984110200012|0.006702014616015406|0.0005218978665361817|0.0017421735140152866
25-29|hombre|basica-|formal_ISSSTE|fuera_PEA|153|0.007975131563493318|0.009086720645861641|0.012797372062437974|0.0011115890823683236|0.003710651416576333
25-29|hombre|basica-|informal|formal_IMSS|11542|0.09284985641360066|0.09285923588930692|0.09289435112285563|9.379475706255969e-06|3.511523354871038e-05
25-29|hombre|basica-|informal|formal_ISSSTE|11542|0.002069721490182756|0.0020730364643509612|0.0020854471891899574|3.314974168205226e-06|1.2410724838996141e-05
25-29|hombre|basica-|informal|informal|11542|0.8448718985265987|0.8448243743223287|0.8446464514208339|4.7524204270010806e-05|0.00017792290149476475
25-29|hombre|basica-|informal|desempleado|11542|0.0173933006486988|0.017395471867727337|0.017403600559102016|2.1712190285370914e-06|8.128691374679337e-06
25-29|hombre|basica-|informal|fuera_PEA|11542|0.04281522292091897|0.042847881456286|0.04297014970801849|3.26585353670264e-05|0.00012226825173249078
25-29|hombre|basica-|desempleado|formal_IMSS|578|0.22692601110816207|0.22724486813191053|0.2284025910630374|0.00031885702374845337|0.00115772293112687
25-29|hombre|basica-|desempleado|formal_ISSSTE|578|0.005867411280262846|0.006016299618134074|0.006556891262954978|0.00014888833787122732|0.0005405916448209041
25-29|hombre|basica-|desempleado|informal|578|0.569274686011834|0.5677158759782625|0.5620560661364696|0.0015588100335715005|0.005659809841792818
25-29|hombre|basica-|desempleado|desempleado|578|0.07657763078158773|0.07686560532652927|0.07791119852168696|0.00028797454494153274|0.001045593195157693
25-29|hombre|basica-|desempleado|fuera_PEA|578|0.12135426081815343|0.12215735094516368|0.12507325301585095|0.0008030901270102558|0.0029159020706872735
25-29|hombre|basica-|fuera_PEA|formal_IMSS|1351|0.05907554765971753|0.05908051593555083|0.05909888877178339|4.968275833301672e-06|1.8372836232558032e-05
25-29|hombre|basica-|fuera_PEA|formal_ISSSTE|1351|0.0010821220776284551|0.001098329544217047|0.0011582652521704823|1.6207466588591835e-05|5.993570795343535e-05
25-29|hombre|basica-|fuera_PEA|informal|1351|0.4138905441685032|0.4132675920691716|0.41096389612197143|0.0006229520993316084|0.002303695947200146
25-29|hombre|basica-|fuera_PEA|desempleado|1351|0.038911411860889825|0.0388797538028904|0.03876268133457744|3.165805799942162e-05|0.00011707246831296064
25-29|hombre|basica-|fuera_PEA|fuera_PEA|1351|0.48704037423326096|0.4876738086481701|0.49001626851949726|0.0006334344149091509|0.0023424598713271405
25-29|hombre|media_sup|formal_IMSS|formal_IMSS|7034|0.7884518886110804|0.7884327310052586|0.7883610834877381|1.9157605821829016e-05|7.164751752042342e-05
25-29|hombre|media_sup|formal_IMSS|formal_ISSSTE|7034|0.004454647733526495|0.004458167100677497|0.0044713291795905035|3.51936715100188e-06|1.3162078913006928e-05
25-29|hombre|media_sup|formal_IMSS|informal|7034|0.15071114483226764|0.15070612726220345|0.15068736205519237|5.01757006418635e-06|1.8765207011078866e-05
25-29|hombre|media_sup|formal_IMSS|desempleado|7034|0.034460901936833106|0.03445964758190812|0.034454956420742144|1.25435492498438e-06|4.691161165977509e-06
25-29|hombre|media_sup|formal_IMSS|fuera_PEA|7034|0.021921416886292466|0.02194332704995253|0.022025268856736908|2.1910163660064652e-05|8.194180678437746e-05
25-29|hombre|media_sup|formal_ISSSTE|formal_IMSS|451|0.09396742551806324|0.09390751805780286|0.09369192751610148|5.9907460260383294e-05|0.0002155905417013798
25-29|hombre|media_sup|formal_ISSSTE|formal_ISSSTE|451|0.7236726054366491|0.7237937746679541|0.7242298295449431|0.00012116923130500723|0.00043605487698894496
25-29|hombre|media_sup|formal_ISSSTE|informal|451|0.1328731906481094|0.1325711479044025|0.1314841787948841|0.000302042743706904|0.0010869691095183875
25-29|hombre|media_sup|formal_ISSSTE|desempleado|451|0.019733275914364138|0.019779939362164833|0.019947868330364778|4.66634478006947e-05|0.00016792896819994504
25-29|hombre|media_sup|formal_ISSSTE|fuera_PEA|451|0.029753502482814033|0.029947620007675684|0.03064619581370646|0.00019411752486165126|0.0006985758060307767
25-29|hombre|media_sup|informal|formal_IMSS|6022|0.15217382991388168|0.1521524277091329|0.1520724218258149|2.1402204748777187e-05|8.000588331799618e-05
25-29|hombre|media_sup|informal|formal_ISSSTE|6022|0.008111579025696293|0.008113920252936746|0.008122672246276648|2.341227240453339e-06|8.751993339901204e-06
25-29|hombre|media_sup|informal|informal|6022|0.7750466028389972|0.7750018938952514|0.774834762584315|4.470894374575263e-05|0.0001671313109363748
25-29|hombre|media_sup|informal|desempleado|6022|0.027446313291651234|0.02744380109910946|0.02743441000198985|2.5121925417738444e-06|9.391097119611919e-06
25-29|hombre|media_sup|informal|fuera_PEA|6022|0.03722167492977358|0.037287957043569436|0.0375357333416035|6.628211379585552e-05|0.00024777629803406087
25-29|hombre|media_sup|desempleado|formal_IMSS|570|0.37909570870584525|0.3783604301918533|0.37569192999170875|0.000735278513991966|0.00266850020014453
25-29|hombre|media_sup|desempleado|formal_ISSSTE|570|0.012948787258396554|0.013050485340251147|0.013419571811049698|0.00010169808185459331|0.00036908647079855056
25-29|hombre|media_sup|desempleado|informal|570|0.3750957693645088|0.3748660813941038|0.3740324892472738|0.00022968797040495703|0.0008335921468300422
25-29|hombre|media_sup|desempleado|desempleado|570|0.12567307248817133|0.12562352012795322|0.12544368285453447|4.95523602181136e-05|0.0001798372734187481
25-29|hombre|media_sup|desempleado|fuera_PEA|570|0.10718666218307803|0.10809948294583852|0.11141232609543321|0.0009128207627604884|0.0033128431495946936
25-29|hombre|media_sup|fuera_PEA|formal_IMSS|672|0.15633069527911936|0.1557660222976605|0.15370663871824314|0.0005646729814588469|0.002059383579417373
25-29|hombre|media_sup|fuera_PEA|formal_ISSSTE|672|0.019152803484675632|0.01907849713174497|0.018807499070749654|7.430635293066354e-05|0.0002709980609953144
25-29|hombre|media_sup|fuera_PEA|informal|672|0.3840232478018193|0.38295197178819007|0.3790449879162295|0.0010712760136292188|0.00390698387196059
25-29|hombre|media_sup|fuera_PEA|desempleado|672|0.06881699028198467|0.06857688593880652|0.06770121637797444|0.00024010434317814355|0.0008756695608320847
25-29|hombre|media_sup|fuera_PEA|fuera_PEA|672|0.37167626315240104|0.3736266228435979|0.38073965791680325|0.0019503596911968346|0.007113035073205376
25-29|hombre|superior|formal_IMSS|formal_IMSS|8763|0.7825817556813363|0.7825690538273603|0.7825215249157219|1.2701853975949362e-05|4.752891163839479e-05
25-29|hombre|superior|formal_IMSS|formal_ISSSTE|8763|0.015147746850014425|0.015145693979224046|0.015138012367186492|2.0528707903796906e-06|7.681612037553284e-06
25-29|hombre|superior|formal_IMSS|informal|8763|0.13481532496310247|0.13481854857211192|0.1348306109551354|3.223609009450623e-06|1.2062383023481171e-05
25-29|hombre|superior|formal_IMSS|desempleado|8763|0.03473467084797918|0.03473353895017335|0.034729303515653384|1.1318978058311169e-06|4.235434519966885e-06
25-29|hombre|superior|formal_IMSS|fuera_PEA|8763|0.032720501657567645|0.032733164671130376|0.0327805482463028|1.2663013562730363e-05|4.7383575172421644e-05
25-29|hombre|superior|formal_ISSSTE|formal_IMSS|1299|0.09714667803327467|0.09711597649037623|0.09700250414645663|3.070154289844251e-05|0.00011347234391960448
25-29|hombre|superior|formal_ISSSTE|formal_ISSSTE|1299|0.6912882414149922|0.6914299520174169|0.6919537118254683|0.0001417106024246273|0.0005237598080514161
25-29|hombre|superior|formal_ISSSTE|informal|1299|0.10803198916147913|0.10800256685689032|0.1078938225544866|2.9422304588813675e-05|0.00010874430240372102
25-29|hombre|superior|formal_ISSSTE|desempleado|1299|0.040437481340560286|0.04039028940075379|0.04021586884991477|4.7191939806498495e-05|0.0001744205508390148
25-29|hombre|superior|formal_ISSSTE|fuera_PEA|1299|0.06309561004969365|0.06306121523456282|0.06293409262367364|3.439481513083098e-05|0.00012712261088917987
25-29|hombre|superior|informal|formal_IMSS|5928|0.19520633873164786|0.19515558512920522|0.1949658670881312|5.0753602442638046e-05|0.0001897180410740107
25-29|hombre|superior|informal|formal_ISSSTE|5928|0.0303849773428809|0.03037233904578154|0.030325096823499598|1.2638297099361318e-05|4.7242222281942275e-05
25-29|hombre|superior|informal|informal|5928|0.6458793491934025|0.6459210158393871|0.6460767666447268|4.166664598459491e-05|0.00015575080533969388
25-29|hombre|superior|informal|desempleado|5928|0.0395220953151289|0.03951140188641776|0.039471429623370295|1.0693428711142094e-05|3.9972263047464984e-05
25-29|hombre|superior|informal|fuera_PEA|5928|0.0890072394169399|0.08903965809920839|0.08916083982027213|3.24186822684841e-05|0.00012118172106374836
25-29|hombre|superior|desempleado|formal_IMSS|1210|0.29146857783984925|0.291409090908095|0.29118946080335606|5.948693175422681e-05|0.00021963010473896594
25-29|hombre|superior|desempleado|formal_ISSSTE|1210|0.04161308343495586|0.041566844103565044|0.04139612510870442|4.62393313908141e-05|0.0001707189948606247
25-29|hombre|superior|desempleado|informal|1210|0.31450374292259586|0.3145945227767397|0.3149296886406671|9.077985414385203e-05|0.0003351658639274002
25-29|hombre|superior|desempleado|desempleado|1210|0.17101289566348515|0.1708401780504591|0.17020249198529272|0.00017271761302606325|0.0006376860651663707
25-29|hombre|superior|desempleado|fuera_PEA|1210|0.1814017001391139|0.18158936416114113|0.18228223346197964|0.0001876640220272452|0.0006928693008385056
25-29|hombre|superior|fuera_PEA|formal_IMSS|2121|0.16384916945893035|0.16365521014323567|0.16293431745073664|0.00019395931569468616|0.0007208926924990311
25-29|hombre|superior|fuera_PEA|formal_ISSSTE|2121|0.018413986153128576|0.018391714219164385|0.018308935650962588|2.2271933964191498e-05|8.277856820179674e-05
25-29|hombre|superior|fuera_PEA|informal|2121|0.2647496772595087|0.2646329512110338|0.2641991130369379|0.0001167260484749022|0.00043383817409592407
25-29|hombre|superior|fuera_PEA|desempleado|2121|0.11264753810060515|0.11248861390888074|0.11189793700292702|0.00015892419172441885|0.0005906769059537131
25-29|hombre|superior|fuera_PEA|fuera_PEA|2121|0.4403396290278272|0.4408315105176854|0.44265969685843587|0.0004918814898581814|0.0018281863407504928
25-29|mujer|basica-|formal_IMSS|formal_IMSS|2822|0.6862175722028392|0.6863145254671663|0.6866756695538949|9.695326432712648e-05|0.0003611440867286042
25-29|mujer|basica-|formal_IMSS|formal_ISSSTE|2822|0.0021188834360805348|0.0021309513110595525|0.0021759032961041072|1.206787497901778e-05|4.495198504455471e-05
25-29|mujer|basica-|formal_IMSS|informal|2822|0.12648941804629052|0.1265111966920146|0.12659232061470874|2.1778645724085388e-05|8.112392269413182e-05
25-29|mujer|basica-|formal_IMSS|desempleado|2822|0.02092628556021331|0.020942312819212067|0.021002013231096527|1.602725899875826e-05|5.97004118844599e-05
25-29|mujer|basica-|formal_IMSS|fuera_PEA|2822|0.1642478407545764|0.16410101371054742|0.1635540933041956|0.00014682704402899094|0.0005469204063518196
25-29|mujer|basica-|formal_ISSSTE|formal_IMSS|33|0.03299923648888677|0.038698051074096566|0.05240746351964842|0.005698814585209794|0.013709412445551857
25-29|mujer|basica-|formal_ISSSTE|formal_ISSSTE|33|0.8539593248631292|0.8416989641202114|0.8122047000688527|0.012260360742917809|0.029494264051358687
25-29|mujer|basica-|formal_ISSSTE|informal|33|0.01259877501918853|0.02163472689775024|0.043372158303724165|0.009035951878561708|0.021737431405973926
25-29|mujer|basica-|formal_ISSSTE|desempleado|33|0.007487091343675136|0.009336124777355972|0.013784271245173086|0.0018490334336808368|0.004448146467817113
25-29|mujer|basica-|formal_ISSSTE|fuera_PEA|33|0.09295557228512033|0.08863213313058577|0.07823140686260169|0.004323439154534564|0.010400726267984078
25-29|mujer|basica-|informal|formal_IMSS|6192|0.06029109816907167|0.06032959096219065|0.060473497434212035|3.8492793118981294e-05|0.00014390647202138646
