edad,qx_hombres,qx_mujeres
0,0.00138,0.00092
1,0.00138,0.00092
2,0.00139,0.00092
3,0.0014,0.00092
4,0.00142,0.00092
5,0.00143,0.00092
6,0.00145,0.00092
7,0.00147,0.00092
8,0.00149,0.00092
9,0.00152,0.00092
10,0.00155,0.00092
11,0.00158,0.00092
12,0.00161,0.00092
13,0.00165,0.00092
14,0.00168,0.00092
15,0.00172,0.00092
16,0.00177,0.00092
17,0.00181,0.00092
18,0.00186,0.00093
19,0.00191,0.00093
20,0.00197,0.00093
21,0.00202,0.00093
22,0.00209,0.00094
23,0.00215,0.00094
24,0.00222,0.00095
25,0.0023,0.00095
26,0.00237,0.00096
27,0.00246,0.00096
28,0.00254,0.00097
29,0.00264,0.00098
30,0.00274,0.00099
31,0.00284,0.001
32,0.00295,0.00101
33,0.00307,0.00102
34,0.00319,0.00104
35,0.00332,0.00105
36,0.00346,0.00107
37,0.00361,0.00109
38,0.00377,0.00111
39,0.00393,0.00113
40,0.00411,0.00116
41,0.0043,0.00118
42,0.0045,0.00121
43,0.00471,0.00124
44,0.00493,0.00128
45,0.00517,0.00132
46,0.00542,0.00136
47,0.00569,0.00141
48,0.00598,0.00146
49,0.00629,0.00151
50,0.00661,0.00158
51,0.00696,0.00164
52,0.00733,0.00172
53,0.00772,0.0018
54,0.00814,0.00189
55,0.00859,0.00199
56,0.00906,0.00211
57,0.00957,0.00223
58,0.01011,0.00237
59,0.01069,0.00253
60,0.01131,0.0027
61,0.01198,0.0029
62,0.01268,0.00312
63,0.01344,0.00336
64,0.01425,0.00364
65,0.01512,0.00396
66,0.01604,0.00432
67,0.01703,0.00473
68,0.0181,0.0052
69,0.01924,0.00574
70,0.02045,0.00636
71,0.02176,0.00707
72,0.02316,0.0079
73,0.02467,0.00886
74,0.02628,0.00998
75,0.02801,0.0113
76,0.02986,0.01285
77,0.03185,0.01467
78,0.03399,0.01683
79,0.03629,0.0194
80,0.03875,0.02247
81,0.04139,0.02614
82,0.04423,0.03056
83,0.04728,0.03588
84,0.05055,0.04233
85,0.05406,0.05014
86,0.05783,0.05964
87,0.06187,0.07121
88,0.06621,0.0853
89,0.07087,0.10245
90,0.08147,0.12327
91,0.09207,0.14846
92,0.10439,0.17874
93,0.11835,0.21478
94,0.13418,0.25716
95,0.15212,0.30616
96,0.17247,0.36163
97,0.19554,0.42286
98,0.2217,0.48842
99,0.25135,0.55626
100,0.28497,0.6239
101,0.32309,0.68873
102,0.3663,0.74844
103,0.4153,0.80133
104,0.47085,0.84648
105,0.53383,0.88375
106,0.60523,0.91358
107,0.68618,0.93683
108,0.77796,0.95453
109,0.88202,0.96773
