anio,edad,sexo,poblacion
2025,0,Hombres,1020678
2025,0,Mujeres,983516
2025,1,Hombres,1028339
2025,1,Mujeres,990991
2025,2,Hombres,1036548
2025,2,Mujeres,998877
2025,3,Hombres,1048574
2025,3,Mujeres,1009662
2025,4,Hombres,1057387
2025,4,Mujeres,1017907
2025,5,Hombres,1059094
2025,5,Mujeres,1020976
2025,6,Hombres,1062233
2025,6,Mujeres,1024438
2025,7,Hombres,1064341
2025,7,Mujeres,1025895
2025,8,Hombres,1071151
2025,8,Mujeres,1032134
2025,9,Hombres,1088237
2025,9,Mujeres,1048221
2025,10,Hombres,1104168
2025,10,Mujeres,1063348
2025,11,Hombres,1113933
2025,11,Mujeres,1072818
2025,12,Hombres,1122569
2025,12,Mujeres,1081373
2025,13,Hombres,1134489
2025,13,Mujeres,1093028
2025,14,Hombres,1147730
2025,14,Mujeres,1105830
2025,15,Hombres,1156710
2025,15,Mujeres,1114816
2025,16,Hombres,1158472
2025,16,Mujeres,1117697
2025,17,Hombres,1152756
2025,17,Mujeres,1115187
2025,18,Hombres,1142262
2025,18,Mujeres,1110337
2025,19,Hombres,1131301
2025,19,Mujeres,1105734
2025,20,Hombres,1123032
2025,20,Mujeres,1102996
2025,21,Hombres,1118619
2025,21,Mujeres,1102866
2025,22,Hombres,1118809
2025,22,Mujeres,1106180
2025,23,Hombres,1122458
2025,23,Mujeres,1112119
2025,24,Hombres,1124223
2025,24,Mujeres,1115889
2025,25,Hombres,1118376
2025,25,Mujeres,1112575
2025,26,Hombres,1104233
2025,26,Mujeres,1101595
2025,27,Hombres,1089020
2025,27,Mujeres,1089526
2025,28,Hombres,1080036
2025,28,Mujeres,1083473
2025,29,Hombres,1076945
2025,29,Mujeres,1083442
2025,30,Hombres,1075466
2025,30,Mujeres,1085357
2025,31,Hombres,1071756
2025,31,Mujeres,1085519
2025,32,Hombres,1063855
2025,32,Mujeres,1082195
2025,33,Hombres,1050250
2025,33,Mujeres,1073906
2025,34,Hombres,1029043
2025,34,Mujeres,1058815
2025,35,Hombres,1002305
2025,35,Mujeres,1038967
2025,36,Hombres,975717
2025,36,Mujeres,1019745
2025,37,Hombres,950829
2025,37,Mujeres,1003109
2025,38,Hombres,925804
2025,38,Mujeres,987938
2025,39,Hombres,899577
2025,39,Mujeres,973498
2025,40,Hombres,870864
2025,40,Mujeres,958372
2025,41,Hombres,839245
2025,41,Mujeres,941146
2025,42,Hombres,807437
2025,42,Mujeres,922978
2025,43,Hombres,778549
2025,43,Mujeres,905188
2025,44,Hombres,755020
2025,44,Mujeres,889040
2025,45,Hombres,737965
2025,45,Mujeres,875537
2025,46,Hombres,726925
2025,46,Mujeres,864706
2025,47,Hombres,721456
2025,47,Mujeres,856852
2025,48,Hombres,720649
2025,48,Mujeres,851789
2025,49,Hombres,721931
2025,49,Mujeres,847490
2025,50,Hombres,720982
2025,50,Mujeres,839761
2025,51,Hombres,715404
2025,51,Mujeres,826394
2025,52,Hombres,705282
2025,52,Mujeres,808176
2025,53,Hombres,691528
2025,53,Mujeres,786655
2025,54,Hombres,675191
2025,54,Mujeres,763323
2025,55,Hombres,657081
2025,55,Mujeres,738982
2025,56,Hombres,638203
2025,56,Mujeres,714640
2025,57,Hombres,618614
2025,57,Mujeres,690550
2025,58,Hombres,598509
2025,58,Mujeres,666809
2025,59,Hombres,578679
2025,59,Mujeres,644126
2025,60,Hombres,558681
2025,60,Mujeres,621906
2025,61,Hombres,536867
2025,61,Mujeres,598166
2025,62,Hombres,513174
2025,62,Mujeres,572747
2025,63,Hombres,488885
2025,63,Mujeres,547041
2025,64,Hombres,464376
2025,64,Mujeres,521238
2025,65,Hombres,439248
2025,65,Mujeres,494673
2025,66,Hombres,413708
2025,66,Mujeres,467671
2025,67,Hombres,388486
2025,67,Mujeres,441121
2025,68,Hombres,364521
2025,68,Mujeres,415929
2025,69,Hombres,341720
2025,69,Mujeres,391931
2025,70,Hombres,318722
2025,70,Mujeres,367409
2025,71,Hombres,294290
2025,71,Mujeres,341107
2025,72,Hombres,270747
2025,72,Mujeres,315450
2025,73,Hombres,250044
2025,73,Mujeres,292542
2025,74,Hombres,231754
2025,74,Mujeres,272236
2025,75,Hombres,216485
2025,75,Mujeres,255390
2025,76,Hombres,202595
2025,76,Mujeres,240163
2025,77,Hombres,188548
2025,77,Mujeres,224604
2025,78,Hombres,174537
2025,78,Mujeres,208916
2025,79,Hombres,160674
2025,79,Mujeres,193283
2025,80,Hombres,147036
2025,80,Mujeres,177844
2025,81,Hombres,133281
2025,81,Mujeres,162198
2025,82,Hombres,119772
2025,82,Mujeres,146712
2025,83,Hombres,107321
2025,83,Mujeres,132292
2025,84,Hombres,95593
2025,84,Mujeres,118524
2025,85,Hombres,84326
2025,85,Mujeres,105128
2025,86,Hombres,73766
2025,86,Mujeres,92438
2025,87,Hombres,64042
2025,87,Mujeres,80598
2025,88,Hombres,55177
2025,88,Mujeres,69651
2025,89,Hombres,47169
2025,89,Mujeres,59648
2025,90,Hombres,40036
2025,90,Mujeres,50692
2025,91,Hombres,33686
2025,91,Mujeres,42627
2025,92,Hombres,28010
2025,92,Mujeres,35275
2025,93,Hombres,22971
2025,93,Mujeres,28625
2025,94,Hombres,18567
2025,94,Mujeres,22817
2025,95,Hombres,14797
2025,95,Mujeres,17946
2025,96,Hombres,11608
2025,96,Mujeres,13922
2025,97,Hombres,8959
2025,97,Mujeres,10601
2025,98,Hombres,6741
2025,98,Mujeres,7812
2025,99,Hombres,4920
2025,99,Mujeres,5562
2025,100,Hombres,3499
2025,100,Mujeres,3862
2025,101,Hombres,2419
2025,101,Mujeres,2604
2025,102,Hombres,1631
2025,102,Mujeres,1697
2025,103,Hombres,1079
2025,103,Mujeres,1072
2025,104,Hombres,707
2025,104,Mujeres,665
2025,105,Hombres,460
2025,105,Mujeres,412
2025,106,Hombres,296
2025,106,Mujeres,254
2025,107,Hombres,187
2025,107,Mujeres,152
2025,108,Hombres,114
2025,108,Mujeres,85
2025,109,Hombres,66
2025,109,Mujeres,44
2026,0,Hombres,1009154
2026,0,Mujeres,972412
2026,1,Hombres,1017227
2026,1,Mujeres,980283
2026,2,Hombres,1026020
2026,2,Mujeres,988678
2026,3,Hombres,1034645
2026,3,Mujeres,996923
2026,4,Hombres,1046910
2026,4,Mujeres,1007937
2026,5,Hombres,1055903
2026,5,Mujeres,1016361
2026,6,Hombres,1057761
2026,6,Mujeres,1019581
2026,7,Hombres,1061026
2026,7,Mujeres,1023170
2026,8,Hombres,1063239
2026,8,Mujeres,1024729
2026,9,Hombres,1070134
2026,9,Mujeres,1031042
2026,10,Hombres,1087280
2026,10,Mujeres,1047173
2026,11,Hombres,1103254
2026,11,Mujeres,1062319
2026,12,Hombres,1113041
2026,12,Mujeres,1071785
2026,13,Hombres,1121645
2026,13,Mujeres,1080296
2026,14,Hombres,1133460
2026,14,Mujeres,1091807
2026,15,Hombres,1146306
2026,15,Mujeres,1104309
2026,16,Hombres,1154563
2026,16,Mujeres,1112920
2026,17,Hombres,1155527
2026,17,Mujeres,1115383
2026,18,Hombres,1149009
2026,18,Mujeres,1112489
2026,19,Hombres,1137775
2026,19,Mujeres,1107292
2026,20,Hombres,1126165
2026,20,Mujeres,1102406
2026,21,Hombres,1117344
2026,21,Mujeres,1099463
2026,22,Hombres,1112474
2026,22,Mujeres,1099206
2026,23,Hombres,1112296
2026,23,Mujeres,1102460
2026,24,Hombres,1115663
2026,24,Mujeres,1108397
2026,25,Hombres,1117257
2026,25,Mujeres,1112221
2026,26,Hombres,1111379
2026,26,Mujeres,1109019
2026,27,Hombres,1097338
2026,27,Mujeres,1098192
2026,28,Hombres,1082299
2026,28,Mujeres,1086285
2026,29,Hombres,1073502
2026,29,Mujeres,1080373
2026,30,Hombres,1070600
2026,30,Mujeres,1080458
2026,31,Hombres,1069326
2026,31,Mujeres,1082474
2026,32,Hombres,1065847
2026,32,Mujeres,1082727
2026,33,Hombres,1058203
2026,33,Mujeres,1079488
2026,34,Hombres,1044877
2026,34,Mujeres,1071278
2026,35,Hombres,1023971
2026,35,Mujeres,1056267
2026,36,Hombres,997536
2026,36,Mujeres,1036492
2026,37,Hombres,971222
2026,37,Mujeres,1017325
2026,38,Hombres,946569
2026,38,Mujeres,1000722
2026,39,Hombres,921749
2026,39,Mujeres,985564
2026,40,Hombres,895702
2026,40,Mujeres,971121
2026,41,Hombres,867149
2026,41,Mujeres,955980
2026,42,Hombres,835673
2026,42,Mujeres,938731
2026,43,Hombres,803982
2026,43,Mujeres,920530
2026,44,Hombres,775175
2026,44,Mujeres,902695
2026,45,Hombres,751681
2026,45,Mujeres,886486
2026,46,Hombres,734609
2026,46,Mujeres,872900
2026,47,Hombres,723504
2026,47,Mujeres,861964
2026,48,Hombres,717918
2026,48,Mujeres,853978
2026,49,Hombres,716947
2026,49,Mujeres,848756
2026,50,Hombres,718025
2026,50,Mujeres,844274
2026,51,Hombres,716854
2026,51,Mujeres,836355
2026,52,Hombres,711053
2026,52,Mujeres,822802
2026,53,Hombres,700708
2026,53,Mujeres,804402
2026,54,Hombres,686732
2026,54,Mujeres,782699
2026,55,Hombres,670169
2026,55,Mujeres,759182
2026,56,Hombres,651828
2026,56,Mujeres,734649
2026,57,Hombres,632711
2026,57,Mujeres,710104
2026,58,Hombres,612876
2026,58,Mujeres,685797
2026,59,Hombres,592519
2026,59,Mujeres,661826
2026,60,Hombres,572424
2026,60,Mujeres,638893
2026,61,Hombres,552155
2026,61,Mujeres,616407
2026,62,Hombres,530086
2026,62,Mujeres,592404
2026,63,Hombres,506163
2026,63,Mujeres,566730
2026,64,Hombres,481658
2026,64,Mujeres,540769
2026,65,Hombres,456946
2026,65,Mujeres,514713
2026,66,Hombres,431639
2026,66,Mujeres,487907
2026,67,Hombres,405950
2026,67,Mujeres,460679
2026,68,Hombres,380598
2026,68,Mujeres,433910
2026,69,Hombres,356507
2026,69,Mujeres,408492
2026,70,Hombres,333586
2026,70,Mujeres,384265
2026,71,Hombres,310509
2026,71,Mujeres,359546
2026,72,Hombres,286082
2026,72,Mujeres,333119
2026,73,Hombres,262574
2026,73,Mujeres,307364
2026,74,Hombres,241877
2026,74,Mujeres,284336
2026,75,Hombres,223566
2026,75,Mujeres,263879
2026,76,Hombres,208213
2026,76,Mujeres,246810
2026,77,Hombres,194225
2026,77,Mujeres,231335
2026,78,Hombres,180129
2026,78,Mujeres,215572
2026,79,Hombres,166117
2026,79,Mujeres,199726
2026,80,Hombres,152302
2026,80,Mujeres,183986
2026,81,Hombres,138765
2026,81,Mujeres,168491
2026,82,Hombres,125190
2026,82,Mujeres,152875
2026,83,Hombres,111927
2026,83,Mujeres,137499
2026,84,Hombres,99742
2026,84,Mujeres,123219
2026,85,Hombres,88316
2026,85,Mujeres,109651
2026,86,Hombres,77410
2026,86,Mujeres,96542
2026,87,Hombres,67252
2026,87,Mujeres,84206
2026,88,Hombres,57955
2026,88,Mujeres,72777
2026,89,Hombres,49537
2026,89,Mujeres,62291
2026,90,Hombres,42000
2026,90,Mujeres,52841
2026,91,Hombres,35323
2026,91,Mujeres,44400
2026,92,Hombres,29428
2026,92,Mujeres,36876
2026,93,Hombres,24211
2026,93,Mujeres,30108
2026,94,Hombres,19631
2026,94,Mujeres,24078
2026,95,Hombres,15675
2026,95,Mujeres,18891
2026,96,Hombres,12329
2026,96,Mujeres,14605
2026,97,Hombres,9538
2026,97,Mujeres,11122
2026,98,Hombres,7252
2026,98,Mujeres,8301
2026,99,Hombres,5369
2026,99,Mujeres,5986
2026,100,Hombres,3853
2026,100,Mujeres,4163
2026,101,Hombres,2691
2026,101,Mujeres,2819
2026,102,Hombres,1824
2026,102,Mujeres,1850
2026,103,Hombres,1205
2026,103,Mujeres,1171
2026,104,Hombres,780
2026,104,Mujeres,717
2026,105,Hombres,499
2026,105,Mujeres,430
2026,106,Hombres,317
2026,106,Mujeres,257
2026,107,Hombres,199
2026,107,Mujeres,152
2026,108,Hombres,122
2026,108,Mujeres,87
2026,109,Hombres,71
2026,109,Mujeres,46
2027,0,Hombres,997425
2027,0,Mujeres,961128
2027,1,Hombres,1005707
2027,1,Mujeres,969249
2027,2,Hombres,1014859
2027,2,Mujeres,977996
2027,3,Hombres,1024051
2027,3,Mujeres,986733
