anio,mes,inpc
1969,1,0.011595
1969,2,0.011636
1969,3,0.011648
1969,4,0.01168
1969,5,0.01168
1969,6,0.011721
1969,7,0.011766
1969,8,0.011779
1969,9,0.011889
1969,10,0.012014
1969,11,0.012015
1969,12,0.012106
1970,1,0.012198
1970,2,0.012196
1970,3,0.012232
1970,4,0.012248
1970,5,0.012274
1970,6,0.012348
1970,7,0.012409
1970,8,0.012466
1970,9,0.012496
1970,10,0.0125
1970,11,0.012568
1970,12,0.012674
1971,1,0.012799
1971,2,0.012852
1971,3,0.012901
1971,4,0.012967
1971,5,0.012994
1971,6,0.013053
1971,7,0.013043
1971,8,0.013162
1971,9,0.013205
1971,10,0.013218
1971,11,0.01324
1971,12,0.013303
1972,1,0.013362
1972,2,0.013403
1972,3,0.013476
1972,4,0.013561
1972,5,0.013588
1972,6,0.013689
1972,7,0.01374
1972,8,0.013831
1972,9,0.013894
1972,10,0.013904
1972,11,0.013994
1972,12,0.014042
1973,1,0.014246
1973,2,0.014363
1973,3,0.01449
1973,4,0.014719
1973,5,0.014876
1973,6,0.014998
1973,7,0.015382
1973,8,0.015629
1973,9,0.016001
1973,10,0.016206
1973,11,0.016406
1973,12,0.017043
1974,1,0.017653
1974,2,0.018052
1974,3,0.018191
1974,4,0.018438
1974,5,0.018583
1974,6,0.018766
1974,7,0.019038
1974,8,0.019239
1974,9,0.019457
1974,10,0.019843
1974,11,0.020394
1974,12,0.020553
1975,1,0.020816
1975,2,0.020931
1975,3,0.021063
1975,4,0.021241
1975,5,0.021525
1975,6,0.021891
1975,7,0.022066
1975,8,0.022257
1975,9,0.022419
1975,10,0.022534
1975,11,0.022692
1975,12,0.022877
1976,1,0.023319
1976,2,0.023755
1976,3,0.023988
1976,4,0.024156
1976,5,0.024325
1976,6,0.024423
1976,7,0.024629
1976,8,0.024865
1976,9,0.025713
1976,10,0.027161
1976,11,0.028388
1976,12,0.0291
1977,1,0.030027
1977,2,0.03069
1977,3,0.031225
1977,4,0.031697
1977,5,0.031976
1977,6,0.032368
1977,7,0.032734
1977,8,0.033405
1977,9,0.033998
1977,10,0.034258
1977,11,0.034632
1977,12,0.035112
1978,1,0.035892
1978,2,0.036408
1978,3,0.036787
1978,4,0.037196
1978,5,0.03756
1978,6,0.038077
1978,7,0.038723
1978,8,0.039109
1978,9,0.039555
1978,10,0.040034
1978,11,0.040446
1978,12,0.040789
1979,1,0.042237
1979,2,0.042845
1979,3,0.043426
1979,4,0.043815
1979,5,0.044389
1979,6,0.044881
1979,7,0.045425
1979,8,0.046112
1979,9,0.046678
1979,10,0.047493
1979,11,0.048104
1979,12,0.048956
1980,1,0.051342
1980,2,0.052529
1980,3,0.05361
1980,4,0.054547
1980,5,0.055437
1980,6,0.056536
1980,7,0.058115
1980,8,0.059319
1980,9,0.059978
1980,10,0.060886
1980,11,0.061942
1980,12,0.063567
1981,1,0.065615
1981,2,0.067227
1981,3,0.068665
1981,4,0.070213
1981,5,0.071275
1981,6,0.072271
1981,7,0.073544
1981,8,0.07506
1981,9,0.076456
1981,10,0.078153
1981,11,0.079657
1981,12,0.081801
1982,1,0.085866
1982,2,0.08924
1982,3,0.092499
1982,4,0.097512
1982,5,0.102993
1982,6,0.107954
1982,7,0.113517
1982,8,0.126256
1982,9,0.132995
1982,10,0.13989
1982,11,0.146963
1982,12,0.162656
1983,1,0.180355
1983,2,0.190034
1983,3,0.199232
1983,4,0.211846
1983,5,0.221034
1983,6,0.229404
1983,7,0.240746
1983,8,0.250091
1983,9,0.257787
1983,10,0.266341
1983,11,0.281983
1983,12,0.294047
1984,1,0.312728
1984,2,0.329232
1984,3,0.343304
1984,4,0.358156
1984,5,0.370032
1984,6,0.383423
1984,7,0.395993
1984,8,0.407249
1984,9,0.41938
1984,10,0.434034
1984,11,0.448929
1984,12,0.467996
1985,1,0.502711
1985,2,0.523596
1985,3,0.543885
1985,4,0.560621
1985,5,0.573902
1985,6,0.588276
1985,7,0.608763
1985,8,0.635377
1985,9,0.660752
1985,10,0.685852
1985,11,0.717495
1985,12,0.76634
1986,1,0.834092
1986,2,0.871174
1986,3,0.911667
1986,4,0.959263
1986,5,1.01257
1986,6,1.077567
1986,7,1.131333
1986,8,1.221531
1986,9,1.294812
1986,10,1.368824
1986,11,1.461304
1986,12,1.576735
1987,1,1.704401
1987,2,1.827386
1987,3,1.948153
1987,4,2.118606
1987,5,2.278325
1987,6,2.443146
1987,7,2.641022
1987,8,2.856872
1987,9,3.045081
1987,10,3.298845
1987,11,3.560511
1987,12,4.086392
1988,1,4.718246
1988,2,5.111783
1988,3,5.373547
1988,4,5.538941
1988,5,5.646109
1988,6,5.761292
1988,7,5.857457
1988,8,5.911343
1988,9,5.945139
1988,10,5.990486
1988,11,6.070654
1988,12,6.197316
1989,1,6.349024
1989,2,6.435184
1989,3,6.504945
1989,4,6.602224
1989,5,6.693099
1989,6,6.774385
1989,7,6.842148
1989,8,6.907333
1989,9,6.973393
1989,10,7.076525
1989,11,7.175855
1989,12,7.41803
1990,1,7.776037
1990,2,7.95212
1990,3,8.09231
1990,4,8.215472
1990,5,8.358838
1990,6,8.542939
1990,7,8.698735
1990,8,8.84695
1990,9,8.973061
1990,10,9.10206
1990,11,9.343723
1990,12,9.638214
1991,1,9.88388
1991,2,10.056425
1991,3,10.19984
1991,4,10.306688
1991,5,10.407442
1991,6,10.516648
1991,7,10.609584
1991,8,10.683423
1991,9,10.78985
1991,10,10.915343
1991,11,11.186374
1991,12,11.44968
1992,1,11.657778
1992,2,11.7959
1992,3,11.915948
1992,4,12.022171
1992,5,12.101438
1992,6,12.183345
1992,7,12.260272
1992,8,12.335592
1992,9,12.442897
1992,10,12.532494
1992,11,12.63662
1992,12,12.816553
1993,1,12.97732
1993,2,13.083345
1993,3,13.159594
1993,4,13.23548
1993,5,13.311137
1993,6,13.385797
1993,7,13.450123
1993,8,13.522112
1993,9,13.622261
1993,10,13.677973
1993,11,13.738302
1993,12,13.843055
1994,1,13.950375
1994,2,14.022124
1994,3,14.094225
1994,4,14.163251
1994,5,14.231682
1994,6,14.302895
1994,7,14.366327
1994,8,14.433287
1994,9,14.535937
1994,10,14.612245
1994,11,14.690361
1994,12,14.819204
1995,1,15.376991
1995,2,16.028707
1995,3,16.973617
1995,4,18.326133
1995,5,19.09209
1995,6,19.698024
1995,7,20.099588
1995,8,20.432981
1995,9,20.855643
1995,10,21.284762
1995,11,21.809608
1995,12,22.520167
1996,1,23.329754
1996,2,23.874262
1996,3,24.399826
1996,4,25.09345
1996,5,25.550842
1996,6,25.966902
1996,7,26.336031
1996,8,26.686072
1996,9,27.112751
1996,10,27.451168
1996,11,27.867083
1996,12,28.759336
1997,1,29.498886
1997,2,29.994598
1997,3,30.367889
1997,4,30.695972
1997,5,30.976119
1997,6,31.250957
1997,7,31.523211
1997,8,31.803502
1997,9,32.199613
1997,10,32.456941
1997,11,32.820042
1997,12,33.279875
1998,1,34.003924
1998,2,34.599238
1998,3,35.004533
1998,4,35.332042
1998,5,35.613481
1998,6,36.03442
1998,7,36.381878
1998,8,36.731632
1998,9,37.327376
1998,10,37.862269
1998,11,38.532786
1998,12,39.472974
1999,1,40.46977
1999,2,41.013643
1999,3,41.394684
1999,4,41.774577
1999,5,42.025877
1999,6,42.302006
1999,7,42.58158
1999,8,42.821255
1999,9,43.235018
1999,10,43.508851
1999,11,43.895776
1999,12,44.335516
2000,1,44.93083
2000,2,45.32938
2000,3,45.580681
2000,4,45.840018
2000,5,46.011379
2000,6,46.28392
2000,7,46.464466
2000,8,46.719785
2000,9,47.061072
2000,10,47.385136
2000,11,47.790288
2000,12,48.307671
2001,1,48.575476
2001,2,48.543328
2001,3,48.850888
2001,4,49.097309
2001,5,49.20997
2001,6,49.326364
